ሀ|hə
ሀለን|hələn
ሀሊ|həli
ሀላፊ|həlafi
ሀላፊነቱ|həlafinətu
ሀላፊነታቸው|həlafinətat͡ʃəw
ሀላፊነት|həlafinət
ሀላፊው|həlafiw
ሀላፊዎቹ|həlafiwot͡ʃu
ሀላፊዎች|həlafiwot͡ʃ
ሀል|həl
ሀሎ|həlo
ሀመድ|həməd
ሀሙስ|həmus
ሀሚድ|həmid
ሀማ|həma
ሀማሴን|həmasen
ሀምሳ|həmɨsa
ሀረሪ|hərəri
ሀረሪዎች|hərəriwot͡ʃ
ሀረር|hərər
ሀራሬ|hərare
ሀራጅ|hərad͡ʒ
ሀሬ|həre
ሀር|hər
ሀሰተኛ|həsətəɲa
ሀሰት|həsət
ሀሰን|həsən
ሀሳቡ|həsabu
ሀሳባ|həsaba
ሀሳባችን|həsabat͡ʃɨn
ሀሳብ|həsab
ሀሳቦች|həsabot͡ʃ
ሀሴት|həset
ሀሺ|həʃi
ሀሺሽ|həʃiʃ
ሀቀኛ|həkʼəɲa
ሀቁ|həkʼu
ሀቅ|həkʼ
ሀበሻ|həbəʃa
ሀበሾች|həbəʃot͡ʃ
ሀብ|həb
ሀብል|həbɨl
ሀብረት|həbɨrət
ሀብተ|həbɨtə
ሀብቱ|həbɨtu
ሀብታሙ|həbɨtamu
ሀብታሞች|həbɨtamot͡ʃ
ሀብታቸው|həbɨtat͡ʃəw
ሀብት|həbɨt
ሀብቶቹ|həbɨtot͡ʃu
ሀብቶች|həbɨtot͡ʃ
ሀብቷ|həbɨtʷa
ሀቫላንጅ|həvalanɨd͡ʒ
ሀተታ|hətəta
ሀኒሽ|həniʃ
ሀን|hən
ሀንቲንግተን|hənɨtinɨɡɨtən
ሀንድ|hənɨd
ሀንጋሪ|hənɨɡari
ሀኖቨር|hənovər
ሀኪም|həkim
ሀኪሞ|həkimo
ሀኪሞች|həkimot͡ʃ
ሀዋ|həwa
ሀዋላ|həwala
ሀዋሪያ|həwarija
ሀዋርያ|həwarɨja
ሀዋርያት|həwarɨjat
ሀውል|həwɨl
ሀውልቱ|həwɨlɨtu
ሀውልት|həwɨlɨt
ሀውስ|həwɨs
ሀውዜን|həwɨzen
ሀዘና|həzəna
ሀዘኔ|həzəne
ሀዘን|həzən
ሀያ|həja
ሀያላን|həjalan
ሀያል|həjal
ሀያት|həjat
ሀይ|həj
ሀይለ|həjɨlə
ሀይለስላሴ|həjɨləsɨlase
ሀይሉ|həjɨlu
ሀይላችን|həjɨlat͡ʃɨn
ሀይሌ|həjɨle
ሀይል|həjɨl
ሀይሎ|həjɨlo
ሀይሎች|həjɨlot͡ʃ
ሀይማኖ|həjɨmano
ሀይማኖታዊ|həjɨmanotawi
ሀይማኖት|həjɨmanot
ሀይቅ|həjɨkʼ
ሀይድሮ|həjɨdɨro
ሀዲ|hədi
ሀዲስ|hədis
ሀዲያ|hədija
