'ики'|'ikʰi'
«аймшигт»|«ajmʃiɡtʰ»
«чимээгүй»|«t͡ʃʰimɛːɡuj»
«эрүүл|«ɛruːɮ
аа|aː
аав|aːw
аавд|aːwt
аавдаа|aːwtaː
аавтайгаа|aːwtʰajɡaː
аавыг|aːwiːɡ
аавыгаа|aːwiːɡaː
аавын|aːwiːn
аавынхаа|aːwiːnxaː
ааглаж|aːɡɮat͡ʃ
аажмаар|aːt͡ʃmaːr
аажуухан|aːt͡ʃʊːxan
аалзны|aːɮt͡sniː
аарон|aːrɔn
ааш|aːʃ
аашаараа|aːʃaːraː
аашилдаг|aːʃiɮtaɡ
аашлахдаа|aːʃɮaxtaː
аашна|aːʃna
ааштай|aːʃtʰaj
аашхинь|aːʃxinʲ
ааһ|aːһ
ааһд|aːһt
ааһинь|aːһinʲ
аба|apa
абаг|apaɡ
абага|apaɡa
абдул|aptʊɮ
абрам|apram
абрахам|apraxam
абрахамд|apraxamt
абрахамиг|apraxamiɡ
абрахамин|apraxamin
абрахамур|apraxamʊr
аваагүй|awaːɡuj
аваад|awaːt
аваачаад|awaːt͡ʃʰaːt
аваачиж|awaːt͡ʃʰit͡ʃ
аваачих|awaːt͡ʃʰix
аваачлаа|awaːt͡ʃʰɮaː
авааччихав|awaːt͡ʃʰt͡ʃʰixaw
авав|awaw
авагч|awaɡt͡ʃʰ
авад|awat
авай|awaj
авалиннь|awaɮinnʲ
авалт|awaɮtʰ
авальдан|awaɮʲtan
авальнь|awaɮʲnʲ
авальтаһан|awaɮʲtʰaһan
авалян|awaɮJan
авахаар|awaxaːr
авахад|awaxat
авахгүй|awaxɡuj
авахдаа|awaxtaː
аваху|awaxʊ
авахы|awaxiː
авахыг|awaxiːɡ
авахын|awaxiːn
авв|aww
аввал|awwaɮ
аввидн|awwitn
авгай|awɡaj
авгайн|awɡajn
авгайтайгаа|awɡajtʰajɡaː
авгайчуудаас|awɡajt͡ʃʰʊːtaːs
август|awɡʊstʰ
авд|awt
авдаг|awtaɡ
авдаггүй|awtaɡɡuj
авдагт|awtaɡtʰ
авдг|awtɡ
авдго|awtɡɔ
авдраа|awtraː
авдрыг|awtriːɡ
авел|awJiɮ
авиануудыг|awianʊːtiːɡ
авир|awir
авирахыг|awiraxiːɡ
авирмэдийн|awirmɛtiːn
авирч|awirt͡ʃʰ
авирчээ|awirt͡ʃʰɛː
авич|awit͡ʃʰ
авлаа|awɮaː
авлав|awɮaw
авлига|awɮiɡa
авмаар|awmaːr
авн|awn
авна|awna
авнавидн|awnawitn
авр|awr
авраарай|awraːraj
аврад|awrat
аврах|awrax
аврахаар|awraxaːr
аврач|awrat͡ʃʰ
аврачиг|awrat͡ʃʰiɡ
аврачин|awrat͡ʃʰin
аврсн|awrsn
авртха|awrtʰxa
аврх|awrx
аврхар|awrxar
аврхин|awrxin
аврхмн|awrxmn
аврҗ|awrҗ
авсан|awsan
авсмн|awsmn
авсн|awsn
авсна|awsna
авсны|awsniː
