'ayé|'ajé
000|000
1|1
29|29
30|30
a|a
aaroni|aaroni
abaddoni|abaddoni
abala|abala
abanijẹ́|abanid͡ʒɛ́
abarimu|abarimu
abdeeli|abdeeli
abdoni|abdoni
abednego|abedneɡo
abeli|abeli
abi|abi
abiatari|abiatari
abibu|abibu
abidani|abidani
abieli|abieli
abieseri|abieseri
abigaili|abiɡaili
abihaili|abihaili
abihu|abihu
abihudi|abihudi
abijah|abid͡ʒah
abilene|abilene
abimeleki|abimeleki
abinoamu|abĩoamu
abiramu|abiramu
abirùn|abirùn
abiṣagi|abiʃaɡi
abiṣai|abiʃai
abiṣua|abiʃua
abiṣuri|abiʃuri
abneri|abneri
aboyún|abojún
abrahamu|abrahamu
abramu|abramu
abrupt|abruk͡pt
absalomu|absalomu
aburú|aburú
abà|abà
abàmì|abàmì
abájọ|abád͡ʒɔ
abéégúnrín|abééɡúnrín
abìyẹ́|abìjɛ́
abíkẹ́|abíkɛ́
abínibí|abínibí
abírí|abírí
abíọ́dún|abíɔ́dún
abíọ́lá|abíɔ́lá
abíọ́nà|abíɔ́nà
abókùúsọ̀rọ̀|abókùúsɔ̀rɔ̀
abúlé|abúlé
abúra|abúra
abẹ|abɛ
abẹnu|abɛ̃u
abẹ̀mí|abɛ̀mí
abẹ́|abɛ́
abẹ́rẹ́|abɛ́rɛ́
abẹ́òkúta|abɛ́òkúta
abọ̀rìṣà|abɔ̀rìʃà
abọ́|abɔ́
adah|adah
adaiah|adaiah
adamawa|adamawa
adami|adami
adamu|adamu
adarí|adarí
addari|addari
addoni|addoni
adetìmí|adetìmí
adi|adi
adina|adĩa
adisa|adisa
adití|adití
admiralty|admiraltj
adoni|adoni
adonijah|adonid͡ʒah
adoniramu|adoniramu
adramittiu|adramittiu
adria|adria
adullamu|adullamu
adummimu|adummimu
adágún|adáɡún
adájọ́|adád͡ʒɔ́
adánilárayá|adánilárajá
adé|adé
adébámbọ̀|adébámbɔ̀
adébánjọ|adébánd͡ʒɔ
adébóyè|adébójè
adébọ̀wálé|adébɔ̀wálé
adédọlápọ̀|adédɔlák͡pɔ̀
adéfarasín|adéfarasín
adéforítì|adéforítì
adégẹyè|adéɡɛjè
adékúnlé|adékúnlé
adémìlúyìí|adémìlújìí
adémọ́lá|adémɔ́lá
adéníkẹ|adéníkɛ
adérónkẹ́|adérónkɛ́
adésuà|adésuà
adétiba|adétiba
adétutù|adétutù
adétọ́lá|adétɔ́lá
adéwálé|adéwálé
adéwùnmí|adéwùnmí
adéyanjú|adéjand͡ʒú
adéyinká|adéjĩká
adéyọ̀ọ́lá|adéjɔ̀ɔ́lá
adéyọọ́lá|adéjɔɔ́lá
adéògún|adéòɡún
adéṣẹwà|adéʃɛwà
adéẹ̀kọ́|adéɛ̀kɔ́
adéọlá|adéɔlá
adìyẹ|adìjɛ
adìẹ|adìɛ
adó|adó
adójútini|adód͡ʒútĩi
adùn|adùn
adúnmáradán|adúnmáradán
adúrú|adúrú
adẹdò|adɛdò
adẹ́tẹ̀|adɛ́tɛ̀
aenea|aenea
aenoni|aenoni
afeki|afeki
afeni|afeni
afiki|afiki
afiniṣòfò|afĩiʃòfò
afowópamọ́|afowók͡pamɔ́
afunfèrè|afũfèrè
afàyàfà|afàjàfà
afárá|afárá
afùnpè|afùnk͡pè
afúnrúgbìn|afúnrúɡ͡bìn
afẹ́fẹ́|afɛ́fɛ́
afọpẹ́fólúwa|afɔk͡pɛ́fólúwa
afọ̀rọ̀kẹ́lẹ́|afɔ̀rɔ̀kɛ́lɛ́
afọ́jú|afɔ́d͡ʒú
afọ́júìwọ|afɔ́d͡ʒúìwɔ
afọ́nilójú|afɔ́nilód͡ʒú
afọ́nnu|afɔ́nnu
agabu|aɡabu
agagi|aɡaɡi
agara|aɡara
agbani|aɡ͡bani
agbasọfọ̀|aɡ͡basɔfɔ̀
agbede|aɡ͡bede
agbejọ́rò|aɡ͡bed͡ʒɔ́rò
agbolé|aɡ͡bolé
agboolé|aɡ͡boolé
agbowó|aɡ͡bowó
agbábọ́ọ̀lù|aɡ͡bábɔ́ɔ̀lù
agbádá|aɡ͡bádá
agbálẹ̀|aɡ͡bálɛ̀
agbára|aɡ͡bára
agbárí|aɡ͡bárí
agbátẹrù|aɡ͡bátɛrù
agbègbè|aɡ͡bèɡ͡bè
agbèrò|aɡ͡bèrò
agbé|aɡ͡bé
agbéraga|aɡ͡béraɡa
agbófinró|aɡ͡bófĩró
agbóhùnsáfẹ́fẹ́|aɡ͡bóhùnsáfɛ́fɛ́
agbẹjẹ́rò|aɡ͡bɛd͡ʒɛ́rò
agbẹjọ́rò|aɡ͡bɛd͡ʒɔ́rò
agbẹnusọ|aɡ͡bɛ̃usɔ
agbẹ̀bí|aɡ͡bɛ̀bí
agbẹ̀san|aɡ͡bɛ̀san
agbọ̀n|aɡ͡bɔ̀n
agbọ́n|aɡ͡bɔ́n
agbọ́tí|aɡ͡bɔ́tí
aginjù|aɡĩd͡ʒù
aginjù’|aɡĩd͡ʒù’
ago|aɡo
agrippa|aɡrik͡pk͡pa
agége|aɡéɡe
agégi|aɡéɡi
agékúta|aɡékúta
agénifò|aɡénifò
agídí|aɡídí
agẹṣinjagun|aɡɛʃĩd͡ʒaɡũ
ahabu|ahabu
ahasbai|ahasbai
ahasi|ahasi
ahasiah|ahasiah
ahaswerusi|ahaswerusi
ahaṣi|ahaʃi
ahbani|ahbani
ahieseri|ahieseri
ahihudu|ahihudu
ahijah|ahid͡ʒah
ahikamu|ahikamu
ahiludi|ahiludi
ahimani|ahimani
ahimasi|ahimasi
ahimeleki|ahimeleki
ahinoamu|ahĩoamu
ahira|ahira
ahiramu|ahiramu
ahisamaki|ahisamaki
ahitofeli|ahitofeli
ahitubu|ahitubu
ahlabu|ahlabu
ahlai|ahlai
ahoro|ahoro
ahoro’|ahoro’
ahumai|ahumai
ahunṣọ|ahũʃɔ
ahussati|ahussati
ahéré|ahéré
ahọ́n|ahɔ́n
ai|ai
aiah|aiah
aijaloni|aid͡ʒaloni
aini|aĩi
ajigbèsè|ad͡ʒiɡ͡bèsè
ajigbèsè’|ad͡ʒiɡ͡bèsè’
