#|n ˈʊ m ɜ
#ad|n ˈʊ m ɜ  ˈɑː t
#anno#|n ˈʊ m ɜ  ˈa n oː n ˈʊ m ɜ
#anno# 13|n ˈʊ m ɜ  ˈa n oː n ˈʊ m ɜ d ɾ ˈaɪ ts eː n
#curriculum|n ˈʊ m ɜ k ˈʊ r iː k ˌuː l ʊ m
#dieu|n ˈʊ m ɜ d ˈiː uː
#excusez#|n ˈʊ m ɜ  ˈɛ k s k uː z ˌeː ts n ˈʊ m ɜ
#grand|n ˈʊ m ɜ ɡ ɾ ˈa n t
#haute|n ˈʊ m ɜ h ˈaʊ t ə
#in|n ˈʊ m ɜ  ˈɪ n
#ma|n ˈʊ m ɜ m ˈɑː
#maladie|n ˈʊ m ɜ m ˌɑ l a d ˈiː
#nom|n ˈʊ m ɜ n ˈoː m
#parole|n ˈʊ m ɜ p a r ˈoː l ə
#pauvre|n ˈʊ m ɜ p ˈaʊ v r ə
#perdu#|n ˈʊ m ɜ p ˈɛ ɾ d uː n ˈʊ m ɜ
#à|n ˈʊ m ɜ  ˌɑː  ɡ ɾ ˈɑː v ɪ s
&|ˈʊ n t
'|
'aalglatt'|ˈɑː l ɡ l a t
'cent|s ˈɛ n t
'colovia'|k ˈoː l oː v ˌiː ɑː
'consolation|k ˌɔ n z oː l a ts j ˈoː n
'de|d ˈeː
'der|d ˈɛ ɾ
'du|d ˈuː
'e|ˈeː
'ein|ˈaɪ n
'führe|f ˈyː r ə
'herr|h ˈɛ ɾ
'lohengrin'|l ˈoː ə n ɡ ɾ ˌɪ n
'mal|m ˈɑː l
'morgen|m ˈɔ ɾ ɡ ə n
'n|ˈɛ n
'n'|ˈɛ n
'naus|n ˈaʊ s
'ne|n ˈeː
'nem|n ˈeː m
'nen|n ˈeː n
'ner|n ˈeː ɾ
'paradiese'|p ˌa r a d ˈiː z ə
'publikaner|p ˌʊ b l iː k ˈɑː n ɜ
'rauf|r ˈaʊ f
'reinfällt|r ˈaɪ n f ɛ l t
'ristokraten|r ˌɪ s t ɔ k ɾ ˈɑː t ə n
'ristokratenvolk|r ˈɪ s t ɔ k ɾ ˌɑ t ə n f ˌɔ l k
'ristokratisch|r ˌɪ s t ɔ k ɾ ˈɑː t ɪ ʃ
'ristokratischer|r ˌɪ s t ɔ k ɾ ˈɑː t ɪ ʃ ɜ
'rum|r ˈʊ m
'rumschleppen|r ˈʊ m ʃ l ɛ p ə n
's|ˈɛ s
'sie|z ˈiː
'tressieren|t ɾ ɛ s ˈiː r ə n
'tressiert|t ɾ ɛ s ˈiː ɾ t
'tressierte|t ɾ ɛ s ˈiː ɾ t ə
'tschuldige|tʃ ˈʊ l d ɪ ɡ ə
'und|ˈʊ n t
'vater|f ˈɑː t ɜ
'vertraut|f ɛ ɾ t ɾ ˈaʊ t
'verzeihung|f ɛ ɾ ts ˈaɪ h ʊ ŋ
'was|v ˈa s
'willst|v ˈɪ l s t
'wo|v ˈoː
'wolke|v ˈɔ l k ə
'xaminieren|k s ˌɑ m iː n ˈiː r ə n
'zähmen'|ts ˈɛː m ə n
*|
**kuppel|k ˈʊ p ə l
**rübezahls|r ˈyː b eː ts ˌɑː l s
*bzzt*|b ˌeː ts ˌɛ t ts ˌɛ t t ˈeː
*entsetztes|ɛ n t z ˈɛ ts t ə s
*furchtsames|f ˈ?? ç t z ɑː m ə s
*gähn*|ɡ ˈɛː n
*hicks*|h ˈɪ k s
*holt|h ˈɔ l t
*hust*|h ˈʊ s t
*kicher*|k ˈɪ ç ɜ
*lach*|l ˈa x
*nies*|n ˈiː s
*pfeif*|pf ˈaɪ f
*röchel*|r ˈœ ç ə l
*schmerzensschrei*|ʃ m ˌɛ ɾ ts ə n s ç r ˈaɪ
*schnief*|ʃ n ˈiː f
*schweres|ʃ v ˈeː r ə s
*seufz*|z ˈɔø f ts
*stöhn*|ʃ t ˈøː n
*weinen*|v ˈaɪ n ə n
*überraschtes|ˌyː b ɜ r ˈa ʃ t ə s
0|n ˈʊ l
00|n ˈʊ l n ˈʊ l
000|n ˈʊ l n ˈʊ l n ˈʊ l
025|n ˈʊ l f ˈy n f  ʊ n t ts v ˈa n ts ɪ ç
05|n ˈʊ l f ˈy n f
07|n ˈʊ l z ˈiː b ə n
074|n ˈʊ l f ˈiː ɾ  ʊ n t z ˈiː p ts ɪ ç
0“|n ˈʊ l
1|ˈaɪ n s
10|ts ˈeː n
100|ˈaɪ n h ˈʊ n d ɜ t
1000|ˈaɪ n t ˈaʊ z ə n t
10000|ts ˈeː n t ˈaʊ z ə n t
