aa|ˈa a
aabsqueburburationbus|a a b s k w ɛ b ʊ r b ʊ r a t ɪ  ˈɔ n b ʊ s
aader|ˈa a d ɛ r
aadgiposs|a ˈa d ɡ ɪ p ɔ s s
aadoca|a ˈa d ɔ k a
aaes|ˈa aɪ s
aaeta|a ˈaɪ t a
aaete|a ˈaɪ t ɛ
aaexercd|a ˈaɪ k s ɛ r k d
aaiasapropia|a a j j a s a p  r ˈɔ p ɪ  a
aali|ˈa a l ɪ
aalis|ˈa a l ɪ s
aaliudpossebelleaut|a a l ɪ  ʊ d p ɔ s s ɛ b ˈɛ l l ɛ aʊ t
aalquea|a ˈa l k w ɛ a
aalqui|a ˈa l k w ɪ
aantetet|a ˈa n t ɛ t ɛ t
aaplus|ˈa a p l ʊ s 
aardomaremsusepi|a a r d ɔ m a r ɛ m s ˈʊ s ɛ p ɪ
aardorestatis|a a r d ɔ r ˈɛ s t a t ɪ s
aartea|a ˈa r t ɛ a
aaterilocoensquidinus|a a t ɛ r ɪ l ɔ k ɔɪ n s k w ˈɪ d ɪ n ʊ s
aatertals|a a t ˈɛ r t a l s
aatos|ˈa a t ɔ s
aaudis|a ˈaʊ d ɪ s
aaudtpaupert|a aʊ d t p ˈaʊ p ɛ r t
aaurmo|a ˈaʊ r m ɔ
aautarequirens|a aʊ t a r ˈɛ k w ɪ r ɛ n s
ab|ˈa b
aba|ˈa b a
abab|ˈa b a b
ababatebener|a b a b a t ˈɛ b ɛ n ɛ r
ababateomi|a b a b a t ˈɛ ɔ m ɪ
ababatepresiptu|a b a b a t ɛ p  r ɛ s ˈɪ p t ʊ
ababatissuo|a b a b a t ˈɪ s s ʊ ɔ
abace|ˈa b a k ɛ
abadulesensiasuua|a b a d ʊ l ɛ s ɛ n s ɪ  a s ˈʊ w a
abaeiulibenterpas|a b aɪ j j ʊ l ɪ b ɛ n t ˈɛ r p a s
abamcmlegionedecimasecumda|a b a m k m l ɛ ɡ ɪ  ɔ n ɛ d ɛ k ɪ m a s ɛ k ˈʊ m d a
abant|ˈa b a n t
abantsedcum|a b a n t s ˈɛ d k ʊ m
abas|ˈa b a s
abasa|ˈa b a s a
abasabebetenit|a b a s a b ɛ b ˈɛ t ɛ n ɪ t
abasaprepositusque|a b a s a p  r ɛ p ɔ s ɪ t ˈʊ s k w ɛ
abasasirca|a b a s a s ˈɪ r k a
abasatm|ˈa b a s a t m
abasecopetr|a b a s ˈɛ k ɔ p ɛ t  r
abasgimnumte|a b a s ɡ ɪ m n ˈʊ m t ɛ
abasiubea|a b a s ɪ  ˈʊ b ɛ a
abasiudcabrthasatis|a b a s ɪ  ʊ d k a b  r tʰ ˈa s a t ɪ s
abasnicil|a b ˈa s n ɪ k ɪ l
abasocperpendit|a b a s ɔ k p ɛ r p ˈɛ n d ɪ t
abaspartiaturponersuua|a b a s p a r t ɪ  a t ʊ r p ɔ n ɛ r s ˈʊ w a
abaspectudi|a b a s p ˈɛ k t ʊ d ɪ
