$|d ˈo l a
$20|d ˈo l a  ˌi ʃ i r ˈi n i
$200|d ˈo l a m ˌi a  m b ˈi l i
$30|d ˈo l a θ ˌe l e θ ˈi n i
$300|d ˈo l a m ˌi a t ˈa t u
'|
'a'|ˈa
'b'|b ˈi
'mbaya'|m̩ b ˈa j a
'mrembo'|m  r ˈe m b o
'mtukufu'|m t u k ˈu f u
'play|p l ˈa j
'soma|s ˈo m a
00|s i f ˈu r i s i f ˈu r i
000|s i f ˈu r i s i f ˈu r i s i f ˈu r i
1|m ˈo ɟ a
10|k ˈu m i
100|m ˌi a m ˈo ɟ a
10000|k ˈu m i  ˈe l f u
10asi|k ˈu m i  ˈa s i
10hivi|k ˈu m i h ˈi v i
10mwana|k ˈu m i  m w ˈa n a
10ndipo|k ˈu m i n d ˈi p o
10ndugu|k ˈu m i n d ˈu ɡ u
10ole|k ˈu m i  ˈo l e
11|k ˈu m i  n a m ˈo ɟ a
11basi|k ˈu m i  n a m ˈo ɟ a b ˈa s i
11ikawa|k ˈu m i  n a m ˈo ɟ a  i k ˈa w a
11nchi|k ˈu m i  n a m ˈo ɟ a  ˈn̩ tʃ i
11tupa|k ˈu m i  n a m ˈo ɟ a t ˈu p a
12|k ˈu m i  n a  m b ˈi l i
12basi|k ˈu m i  n a  m b ˈi l i b ˈa s i
12bwana|k ˈu m i  n a  m b ˈi l i b w ˈa n a
12kila|k ˈu m i  n a  m b ˈi l i  k ˈi l a
12kisha|k ˈu m i  n a  m b ˈi l i  k ˈi ʃ a
12mkumbuke|k ˈu m i  n a  m b ˈi l i  m  k u m b ˈu k e
13|k ˈu m i  n a t ˈa t u
1314|ˌe l f u m ˈo ɟ a m ˌi a t ˈa t u k ˈu m i  n a ˈn̩ n e
1348|ˌe l f u m ˈo ɟ a m ˌi a t ˈa t u  ˌa r o b a ˈi n i  n a n ˈa n e
1350|ˌe l f u m ˈo ɟ a m ˌi a t ˈa t u  n ˌa h a m s ˈi n i
13a|k ˈu m i  n a t ˈa t u  ˈa
13abramu|k ˈu m i  n a t ˈa t u  a b  r ˈa m u
13kila|k ˈu m i  n a t ˈa t u  k ˈi l a
13na|k ˈu m i  n a t ˈa t u n a
13sauli|k ˈu m i  n a t ˈa t u s a ˈu l i
13ufunuo|k ˈu m i  n a t ˈa t u  ˌu f u n ˈu o
14|k ˈu m i  n a ˈn̩ n e
1400|ˌe l f u m ˈo ɟ a m ˌi a ˈn̩ n e
14basi|k ˈu m i  n a ˈn̩ n e b ˈa s i
14ikawa|k ˈu m i  n a ˈn̩ n e  i k ˈa w a
14maana|k ˈu m i  n a ˈn̩ n e  m a ˈa n a
15|k ˈu m i  n a t ˈa n o
15baada|k ˈu m i  n a t ˈa n o b a ˌa d a
15basi|k ˈu m i  n a t ˈa n o b ˈa s i
15ufunuo|k ˈu m i  n a t ˈa n o  ˌu f u n ˈu o
16|k ˈu m i  n a s ˈi t a
1603|ˌe l f u m ˈo ɟ a m ˌi a s ˈi t a  n a t ˈa t u
16basi|k ˈu m i  n a s ˈi t a b ˈa s i
16bwana|k ˈu m i  n a s ˈi t a b w ˈa n a
16maandalio|k ˈu m i  n a s ˈi t a  m ˌa a n d a l ˈi o
16pelekeni|k ˈu m i  n a s ˈi t a p ˌe l e k ˈe n i
17|k ˈu m i  n a s ˈa b a
170|m ˌi a m ˈo ɟ a  n ˌa s a b ˈi n i
1764|ˌe l f u m ˈo ɟ a m ˌi a s ˈa b a s i t ˈi n i  n a ˈn̩ n e
17abramu|k ˈu m i  n a s ˈa b a  a b  r ˈa m u
17afadhali|k ˈu m i  n a s ˈa b a  ˌa f a ð ˈa l i
17ufunuo|k ˈu m i  n a s ˈa b a  ˌu f u n ˈu o
17wakati|k ˈu m i  n a s ˈa b a w a k ˈa t i
18|k ˈu m i  n a n ˈa n e
1830|ˌe l f u m ˈo ɟ a m ˌi a n ˈa n e  n ˌa θ e l e θ ˈi n i
1840|ˌe l f u m ˈo ɟ a m ˌi a n ˈa n e  n ˌa  a r ˌo b a ˈi n i
1848|ˌe l f u m ˈo ɟ a m ˌi a n ˈa n e  ˌa r o b a ˈi n i  n a n ˈa n e
1853|ˌe l f u m ˈo ɟ a m ˌi a n ˈa n e h a m s ˈi n i  n a t ˈa t u
1860|ˌe l f u m ˈo ɟ a m ˌi a n ˈa n e  n ˌa s i t ˈi n i
18akawaambia|k ˈu m i  n a n ˈa n e  ˌa k a w ˌa a m b ˈi a
18bwana|k ˈu m i  n a n ˈa n e b w ˈa n a
18ikawa|k ˈu m i  n a n ˈa n e  i k ˈa w a
19|k ˈu m i  n a t ˈi s a
1900|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a
1930|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a  n ˌa θ e l e θ ˈi n i
1933|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a θ ˌe l e θ ˈi n i  n a t ˈa t u
1963|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a s i t ˈi n i  n a t ˈa t u
1970|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a  n ˌa s a b ˈi n i
1973|ˌe l f u m ˈo ɟ a m ˌi a t ˈi s a s a b ˈi n i  n a t ˈa t u
19kisha|k ˈu m i  n a t ˈi s a  k ˈi ʃ a
19ufunuo|k ˈu m i  n a t ˈi s a  ˌu f u n ˈu o
1hapo|m ˈo ɟ a h ˈa p o
1palikuwa|m ˈo ɟ a p ˌa l i k ˈu w a
1paulo|m ˈo ɟ a p a ˈu l o
2|m b ˈi l i
20|ˌi ʃ i r ˈi n i
200|m ˌi a  m b ˈi l i
2001|ˌe l f u  m b ˈi l i  n a m ˈo ɟ a
2008|ˌe l f u  m b ˈi l i  n a n ˈa n e
2013|ˌe l f u  m b ˈi l i k ˈu m i  n a t ˈa t u
2014|ˌe l f u  m b ˈi l i k ˈu m i  n a ˈn̩ n e
20ibrahimu|ˌi ʃ i r ˈi n i  ˌi b  r a h ˈi m u
20ikawa|ˌi ʃ i r ˈi n i  i k ˈa w a
20katika|ˌi ʃ i r ˈi n i  k a t ˌi k a
20kisha|ˌi ʃ i r ˈi n i  k ˈi ʃ a
20mvinyo|ˌi ʃ i r ˈi n i  m v ˈi ɲ o
21|ˌi ʃ i r ˈi n i  n a m ˈo ɟ a
21akainua|ˌi ʃ i r ˈi n i  n a m ˈo ɟ a  ˌa k a i n ˈu a
21basi|ˌi ʃ i r ˈi n i  n a m ˈo ɟ a b ˈa s i
21bwana|ˌi ʃ i r ˈi n i  n a m ˈo ɟ a b w ˈa n a
21ufunuo|ˌi ʃ i r ˈi n i  n a m ˈo ɟ a  ˌu f u n ˈu o
22|ˌi ʃ i r ˈi n i  n a  m b ˈi l i
22basi|ˌi ʃ i r ˈi n i  n a  m b ˈi l i b ˈa s i
22c|ˌi ʃ i r ˈi n i  n a  m b ˈi l i s ˈi
22ikakaribia|ˌi ʃ i r ˈi n i  n a  m b ˈi l i  ˌi k a k ˌa r i b ˈi a
22ikawa|ˌi ʃ i r ˈi n i  n a  m b ˈi l i  i k ˈa w a
22kisha|ˌi ʃ i r ˈi n i  n a  m b ˈi l i  k ˈi ʃ a
22ufunuo|ˌi ʃ i r ˈi n i  n a  m b ˈi l i  ˌu f u n ˈu o
23|ˌi ʃ i r ˈi n i  n a t ˈa t u
230|m ˌi a  m b ˈi l i  n ˌa θ e l e θ ˈi n i
23ufunuo|ˌi ʃ i r ˈi n i  n a t ˈa t u  ˌu f u n ˈu o
23wakasimama|ˌi ʃ i r ˈi n i  n a t ˈa t u w ˌa k a s i m ˈa m a
24|ˌi ʃ i r ˈi n i  n a ˈn̩ n e
24hata|ˌi ʃ i r ˈi n i  n a ˈn̩ n e h ˌa t a
24tazama|ˌi ʃ i r ˈi n i  n a ˈn̩ n e t a z ˈa m a
25|ˌi ʃ i r ˈi n i  n a t ˈa n o
250000|m ˌi a  m b ˈi l i  n ˌa h a m s ˈi n i  ˈe l f u
25akafa|ˌi ʃ i r ˈi n i  n a t ˈa n o  a k ˈa f a
25hizi|ˌi ʃ i r ˈi n i  n a t ˈa n o h ˈi z i
26|ˌi ʃ i r ˈi n i  n a s ˈi t a
268|m ˌi a  m b ˈi l i s i t ˈi n i  n a n ˈa n e
26basi|ˌi ʃ i r ˈi n i  n a s ˈi t a b ˈa s i
26kama|ˌi ʃ i r ˈi n i  n a s ˈi t a  k ˈa m a
26siku|ˌi ʃ i r ˈi n i  n a s ˈi t a s ˈi k u
27|ˌi ʃ i r ˈi n i  n a s ˈa b a
27ndipo|ˌi ʃ i r ˈi n i  n a s ˈa b a n d ˈi p o
28|ˌi ʃ i r ˈi n i  n a n ˈa n e
28ikawa|ˌi ʃ i r ˈi n i  n a n ˈa n e  i k ˈa w a
28ole|ˌi ʃ i r ˈi n i  n a n ˈa n e  ˈo l e
28waovu|ˌi ʃ i r ˈi n i  n a n ˈa n e w a ˈo v u
29|ˌi ʃ i r ˈi n i  n a t ˈi s a
29basi|ˌi ʃ i r ˈi n i  n a t ˈi s a b ˈa s i
29ole|ˌi ʃ i r ˈi n i  n a t ˈi s a  ˈo l e
2hili|m b ˈi l i h ˈi l i
2kisha|m b ˈi l i  k ˈi ʃ a
2kwa|m b ˈi l i k w a
2mwanangu|m b ˈi l i  m w a n ˈa ŋ ɡ u
2naye|m b ˈi l i n ˈa j e
2nikauambia|m b ˈi l i n ˌi k a ˌu a m b ˈi a
2siku|m b ˈi l i s ˈi k u
3|t ˈa t u
30|θ ˌe l e θ ˈi n i
3000|ˌe l f u t ˈa t u
30ikawa|θ ˌe l e θ ˈi n i  i k ˈa w a
30maneno|θ ˌe l e θ ˈi n i  m a n ˈe n o
31|θ ˌe l e θ ˈi n i  n a m ˈo ɟ a
31basi|θ ˌe l e θ ˈi n i  n a m ˈo ɟ a b ˈa s i
