'mùa|m ˈuə2
'một|m ˈo6 t̪
4|b ˈoɜ n
a|ˈaː7
abondance|(en) ɐɐ b ˈɒ7 n d ə1 n s (vi)
abonnemènts|(en) ɐɐ b ˈɒ7 n m ə1 n t s (vi)
adjectif|(en) ˈa7 dʒ ɪ1 k t ˌɪ1 f (vi)
admire|(en) ɐɐ d m ˈaɪə7 (vi)
ai|ˈaː7 j
ainsi|(en) ˈeɪ7 n s ii (vi)
allo|(en) ˈa7 l əʊəʊ (vi)
allôallô|(en) a1 l ˈəʊəʊ l əʊəʊ (vi)
almicar|(en) ˈɒ7 l m ɪ1 k ˌɑːɑː (vi)
alo|(en) ɐɐ l ˈəʊəʊ (vi)
alê|(en) ɐɐ l ˈeə7 (vi)
ami|(en) ˈɑː7 m ii (vi)
amies|(en) ˈeɪ7 m ii z (vi)
amiral|(en) ˈa7 m ɜː1 ɹ ələl (vi)
amour|(en) ɐɐ m ˈʊə7 (vi)
amours|(en) ɐɐ m ˈʊə7 z (vi)
amuses|(en) ɐɐ m j ˈuː7 z ɪ1 z (vi)
anatole|(en) ˈa7 n ɐɐ t ˌəʊəʊ l (vi)
anbom|(en) ˈa7 n b ə1 m (vi)
andré|(en) a1 n d ɹ ˈeɪ7 (vi)
angkor|(en) ˈa7 ŋ k əə (vi)
anh|ˈe-7 ɲ
anis|(en) ˈa7 n ɪ1 z (vi)
antole|(en) ˈa7 n t əʊəʊ l (vi)
ao|ˈaː7 w
aon|ˈaː7 w n
apheng|(en) ɐɐ f ˈɛ7 ŋ (vi)
appeal|(en) ɐɐ p ˈiː7 l (vi)
arrivetoujours|(en) ɐɐ ɹ ˈaɪ7 v ɪ1 t ˌaʊ1 dʒ əə z (vi)
asseztôt|(en) ɐɐ s ˈɛ7 z t ɒ1 t (vi)
at|(en) a1 t (vi)
autant|(en) ˈɔː7 t ə1 n t (vi)
autres|(en) ˈɔː7 t əə z (vi)
aux|(en) ˈɔː7 k s (vi)
avaient|(en) ˈa7 v eɪ1 ə1 n t (vi)
avec|(en) ˈa7 v ɛ1 k (vi)
avion|(en) ˈeɪ7 v ɪ1  ə1 n (vi)
aỉ|ˈaː4 j
b|b ˈe7
ba|b ˈaː7
baby|(en) b ˈeɪ7 b ii (vi)
backbone| b ˈa7 k b əʊəʊ n  
bai|b ˈaː7 j
bainville|(en) b ˈeɪ7 n v ɪ1 l (vi)
bal|(en) b ˈa7 l (vi)
ban|b ˈaː7 n
bao|b ˈaː7 w
bar|(en) b ˈɑːɑː (vi)
barrès|(en) b ˈɑːɑː z (vi)
bas|(en) b ˈa7 s (vi)
baudelaire|(en) b ˌɔː1 d ɪ1 l ˈeə7 (vi)
belle|(en) b ˈɛ7 l (vi)
beng|b ˈɛ7 ŋ
bergères|(en) b ˈɜː7 dʒ əə z (vi)
bert|(en) b ˈɜː7 t (vi)
besoin|(en) b ɪ1 s ˈɔɪ7 n (vi)
bianes|(en) b ˈaɪ7 ə1 n z (vi)
bien|(en) b aɪ1 ˈɛ7 n (vi)
big|b ˈe1  ˈi1  ð ˈe7
bin|b ˈi7 n
binh|b ˈi7 ɲ
bis|(en) b ˈɪ7 s (vi)
biêng|b ˈiɛ7 ŋ
biết|b ˈiɛɜ t̪
blum|b l ˈu7 m
blummoutet|b l ˈu1 m  (en) m aʊ1 t ˈɛ7 t (vi)
bombes|(en) b ˈɒ7 m z (vi)
bonheur|(en) b ə1 n h j ˈʊə7 (vi)
boniface|(en) b ˈɒ7 n ɪ1 f ˌeɪ1 s (vi)
bonjour|(en) b ɔː1 n ʒ ˈʊə7 (vi)
bonnal|(en) b ˈɒ7 n ələl (vi)
bonnéte|b ˈɔ7 n n ɛɜ t̪ ˌɛ1
bonsoir|(en) b ˈɒ7 n s w ɑːɑː (vi)
booc|b ˈɔ7 c
boston|b ˈɔ7 s t̪ ɔ1 n
boy|b w ˈi7
boà|b w ˈaː2
boát|b w ˈaːɜ t̪
brabahol|(en) b ɹ ˈa7 b ɐɐ h ˌɒ1 l (vi)
branche|(en) b ɹ ˈaa n tʃ (vi)
bravo|(en) b ɹ ˈɑː7 v əʊəʊ (vi)
briseni|(en) b ɹ ˈaɪ7 s n ii (vi)
bua|b ˈuə7
buồn|b ˈuə2 n
bye|(en) b ˈaɪ7 (vi)
bà|b ˈaː2
bài|b ˈaː2 j
bàn|b ˈaː2 n
bác|b ˈaːɜ c
bái|b ˈaːɜ j
báo|b ˈaːɜ w
bát|b ˈaːɜ t̪
bâng|b ˈə7 ŋ
bâý|b ˈə7 iɜ
bã|b ˈaː5
béchamel|(en) b ˈeɪ7 tʃ eɪ1 m ələl (vi)
bénarès|(en) b ˈeɪ7 n eə1 z (vi)
béng|b ˈɛɜ ŋ
bìm|b ˈi2 m
bình|b ˈi2 ɲ
bò|b ˈɔ2
bòi|b ˈɔ2 j
bóp|b ˈɔɜ p
bôn|b ˈo7 n
bông|b ˈo7 ŋ
bõm|b ˈɔ5 m
bõng|b ˈɔ5 ŋ
bú|b ˈuɜ
bút|b ˈuɜ t̪
băn|b ˈa7 n
băng|b ˈa7 ŋ
bũm|b ˈu5 m
bươm|b ˈyə7 m
bương|b ˈyə7 ŋ
bước|b ˈyəɜ c
bướng|b ˈyəɜ ŋ
bạc|b ˈaː6 c
bại|b ˈaː6 j
bạn|b ˈaː6 n
bạnh|b ˈe-6 ɲ
bạo|b ˈaː6 w
bảo|b ˈaː4 w
bấc|b ˈəɜ c
bấp|b ˈəɜ p
bất|b ˈəɜ t̪
bầm|b ˈə2 m
bẩm|b ˈə4 m
bẩn|b ˈə4 n
bẫm|b ˈə5 m
bậm|b ˈə6 m
bập|b ˈə6 p
bắc|b ˈaɜ c
bắng|b ˈaɜ ŋ
bắp|b ˈaɜ p
bắt|b ˈaɜ t̪
bằng|b ˈa2 ŋ
bẳn|b ˈa4 n
bẵng|b ˈa5 ŋ
bặm|b ˈa6 m
bặt|b ˈa6 t̪
bẻm|b ˈɛ4 m
bẻo|b ˈɛ4 w
bẽ|b ˈɛ5
bẽn|b ˈɛ5 n
bềnh|b ˈe2 ɲ
bều|b ˈe2 w
bệu|b ˈe6 w
bỉnh|b ˈi4 ɲ
bỉu|b ˈi4 w
bịn|b ˈi6 n
bịp|b ˈi6 p
bịu|b ˈi6 w
bọn|b ˈɔ6 n
bọp|b ˈɔ6 p
bọt|b ˈɔ6 t̪
bỏ|b ˈɔ4
bỏi|b ˈɔ4 j
bỏm|b ˈɔ4 m
bố|b ˈoɜ
bối|b ˈoɜ j
bồi|b ˈo2 j
bồm|b ˈo2 m
bổng|b ˈo4 ŋ
bỗ|b ˈo5
bộ|b ˈo6
bộc|b ˈo6 k
bộp|b ˈo6 p
bột|b ˈo6 t̪
bời|b ˈəː2 j
bở|b ˈəː4
bỡ|b ˈəː5
bỡn|b ˈəː5 n
bợ|b ˈəː6
bụ|b ˈu6
bụa|b ˈuə6
bục|b ˈu6 c
bụi|b ˈu6 j
bụng|b ˈu6 ŋ
bủm|b ˈu4 m
bừng|b ˈy2 ŋ
bử|b ˈy4
bửu|b ˈi4 w
bực|b ˈy6 c
ca|k ˈaː7
café|(en) k a1 f ˈeɪ7 (vi)
cai|k ˈaː7 j
cam|k ˈaː7 m
camel|(en) k ˈa7 m ələl (vi)
camera|(en) k ˈa7 m  ɹ ə1 (vi)
cang|k ˈaː7 ŋ
cao|k ˈaː7 w
capital|(en) k ˈa7 p ɪ1 t ələl (vi)
careses|(en) k ˈeə7 s iː1 z (vi)
casse|(en) k ˈa7 s (vi)
cau|k ˈa7 w
cay|k ˈa7 j
ce|(en) s ˈiː7 (vi)
cha|tʃ ˈaː7
chai|tʃ ˈaː7 j
chambre|(en) tʃ ˈeɪ7 m b əə (vi)
chang|tʃ ˈaː7 ŋ
chantes|(en) tʃ ˈaa n t s (vi)
chapa|(en) tʃ ˈɑː7 p ə1 (vi)
chargés|(en) tʃ ɑːɑː ɡ ˈeɪ7 z (vi)
charles|(en) tʃ ˈɑːɑː l z (vi)
charlot|(en) tʃ ˈɑːɑː l ɒ1 t (vi)
che|tʃ ˈɛ7
chem|tʃ ˈɛ7 m
cheng|tʃ ˈɛ7 ŋ
chevalier|(en) ʃ ˌɛ1 v ɐɐ l ˈiə7 (vi)
chevaux|(en) ʃ ˈɛ7 v ɔː1 k s (vi)
chiappe|(en) tʃ ˈaɪ7 ə1 p (vi)
chim|tʃ ˈi7 m
chimquảng|s ˈe1  h ˈaɜ t  ˈi1  ˈɛ1 m əː2  k w ˈi1  ˈu1  ˈaː4  ˈɛ1 n əː2  ð ˈe7
chinh|tʃ ˈi7 ɲ
chiu|tʃ ˈi7 w
chiêu|tʃ ˈiɛ7 w
chiến|tʃ ˈiɛɜ n
chiếng|tʃ ˈiɛɜ ŋ
chiết|tʃ ˈiɛɜ t̪
chiếu|tʃ ˈiɛɜ w
chiểu|tʃ ˈiɛ4 w
chiệc|tʃ ˈiɛ6 c
cho|tʃ ˌɔ1
choang|tʃ w ˈaː7 ŋ
choen|tʃ w ˈɛ7 n
choi|tʃ ˈɔ7 j
chon|tʃ ˈɔ7 n
chose|tʃ ˈɔ7 s ɛ1
choành|tʃ w ˈe-2 ɲ
choèn|tʃ w ˈɛ2 n
choét|tʃ w ˈɛɜ t̪
choạc|tʃ w ˈaː6 c
choạch|tʃ w ˈe-6 c
choạng|tʃ w ˈaː6 ŋ
choắ|tʃ w ˈaɜ
choẹ|tʃ w ˈɛ6
christ|(en) k ɹ ˈaɪ7 s t (vi)
chu|tʃ ˈu7
chung|tʃ ˈu7 ŋ
chuyện|tʃ w ˈiɛ6 n
chuồi|tʃ ˈuə2 j
chuổi|tʃ ˈuə4 j
