afia|AE F IY0 AE
afrika|AE F R IY0 K AE
ahaa|AE HH AE AE
ahazi|AE HH AE Z IY0
ahero|AE HH EH0 R OW0
ainon|AE IY0 N OW0 N
aisei|AE IY0 S EH0 IY0
akaiko|AE K AE IY0 K OW0
akaya|AE K AE Y AE
akronimu|AE K R OW0 N IY0 M UW0
akula|AE K UW0 L AE
alfayo|AE L F AE Y OW0
alhamisi|AE L HH AE M IY0 S IY0
allahu|AE L L AE HH UW0
amaleki|AE M AE L EH0 K IY0
amerika|AE M EH0 R IY0 K AE
amfipoli|AE M F IY0 P OW0 L IY0
amina|AE M IY0 N AE
amoni|AE M OW0 N IY0
amosi|AE M OW0 S IY0
ampliato|AE M P L IY0 AE T OW0
anania|AE N AE N IY0 AE
antiokia|AE N T IY0 OW0 K IY0 AE
antipa|AE N T IY0 P AE
antipatri|AE N T IY0 P AE T R IY0
apele|AE P EH0 L EH0
apolion|AE P OW0 L IY0 OW0 N
apolo|AE P OW0 L OW0
apolonia|AE P OW0 L OW0 N IY0 AE
aprili|AE P R IY0 L IY0
areta|AE R EH0 T AE
arimathaya|AE R IY0 M AE TH AE Y AE
aristarko|AE R IY0 S T AE R K OW0
arkelao|AE R K EH0 L AE OW0
arkipo|AE R K IY0 P OW0
arkupo|AE R K UW0 P OW0
arlemi|AE R L EH0 M IY0
aroni|AE R OW0 N IY0
artema|AE R T EH0 M AE
artemi|AE R T EH0 M IY0
arusha|AE R UW0 SH AE
asafu|AE S AE F UW0
ashera|AE SH EH0 R AE
asheri|AE SH EH0 R IY0
ashuru|AE SH UW0 R UW0
aso|AE S OW0
asunkrito|AE S UW0 N K R IY0 T OW0
athene|AE TH EH0 N EH0
athi|AE TH IY0
atlantiki|AE T L AE N T IY0 K IY0
azori|AE Z OW0 R IY0
azoto|AE Z OW0 T OW0
baali|B AE AE L IY0
bactili|B AE KH T IY0 L IY0
balaam|B AE L AE AE M
balaamu|B AE L AE AE M UW0
balaki|B AE L AE K IY0
balaruni|B AE L AE R UW0 N IY0
baniani|B AE N IY0 AE N IY0
banissa|B AE N IY0 S S AE
banyani|B AE N IY0 AE N IY0
baraki|B AE R AE K IY0
baricho|B AE R IY0 T SH OW0
barsaloi|B AE R S AE L OW0 IY0
bartholomayo|B AE R TH OW0 L OW0 M AE Y OW0
bartimayo|B AE R T IY0 M AE Y OW0
baryesu|B AE R Y EH0 S UW0
bashani|B AE SH AE N IY0
benane|B EH0 N AE N EH0
benyamini|B EH0 N IY0 AE M IY0 N IY0
beori|B EH0 OW0 R IY0
bernike|B EH0 R N IY0 K EH0
beru|B EH0 R UW0
bethania|B EH0 TH AE N IY0 AE
bethlehemu|B EH0 TH L EH0 HH EH0 M UW0
bethzatha|B EH0 TH Z AE TH AE
bikira|B IY0 K IY0 R AE
bithunia|B IY0 TH UW0 N IY0 AE
blasto|B L AE S T OW0
boazi|B OW0 AE Z IY0
bomet|B OW0 M EH0 T
bor|B OW0 R
buchuma|B UW0 T SH UW0 M AE
busia|B UW0 S IY0 AE
bute|B UW0 T EH0
butere|B UW0 T EH0 R EH0
bwana|B W AE N AE
chehe|KH HH EH0 HH EH0
chepareria|KH HH EH0 P AE R EH0 R IY0 AE
chepkorio|KH HH EH0 P K OW0 R IY0 OW0
chuka|KH HH UW0 K AE
chwele|KH HH W EH0 L EH0
dalmanutha|D AE L M AE N UW0 TH AE
dalmatia|D AE L M AE T IY0 AE
damari|D AE M AE R IY0
damasko|D AE M AE S K OW0
danieli|D AE N IY0 EH0 L IY0
darisalama|D AE R IY0 S AE L AE M AE
dathani|D AE TH AE N IY0
dayani|D AE Y AE N IY0
dayanu|D AE Y AE N UW0
dei|D EH0 IY0
dekapoli|D EH0 K AE P OW0 L IY0
demetrio|D EH0 M EH0 T R IY0 OW0
der|D EH0 R
derati|D EH0 R AE T IY0
dhulfakari|D HH UW0 L F AE K AE R IY0
dhulfikari|D HH UW0 L F IY0 K AE R IY0
dhulifukari|D HH UW0 L IY0 F UW0 K AE R IY0
diani|D IY0 AE N IY0
dionisio|D IY0 OW0 N IY0 S IY0 OW0
diotrefe|D IY0 OW0 T R EH0 F EH0
disii|D IY0 S IY0 IY0
dol|D OW0 L
dominika|D OW0 M IY0 N IY0 K AE
dorka|D OW0 R K AE
drusila|D R UW0 S IY0 L AE
dukana|D UW0 K AE N AE
efatha|EH0 F AE TH AE
efeso|EH0 F EH0 S OW0
efraimu|EH0 F R AE IY0 M UW0
efrata|EH0 F R AE T AE
eiltu|EH0 IY0 L T UW0
eleazeri|EH0 L EH0 AE Z EH0 R IY0
eliakimu|EH0 L IY0 AE K IY0 M UW0
eliezeri|EH0 L IY0 EH0 Z EH0 R IY0
elima|EH0 L IY0 M AE
elisha|EH0 L IY0 SH AE
eliya|EH0 L IY0 Y AE
eliye|EH0 L IY0 Y EH0
elmenteita|EH0 L M EH0 N T EH0 IY0 T AE
eloi|EH0 L OW0 IY0
emali|EH0 M AE L IY0
emanueli|EH0 M AE N UW0 EH0 L IY0
emati|EH0 M AE T IY0
emau|EH0 M AE UW0
enosi|EH0 N OW0 S IY0
epafra|EH0 P AE F R AE
epaineto|EH0 P AE IY0 N EH0 T OW0
epifania|EH0 P IY0 F AE N IY0 AE
epikuro|EH0 P IY0 K UW0 R OW0
erasto|EH0 R AE S T OW0
eri|EH0 R IY0
esau|EH0 S AE UW0
ethani|EH0 TH AE N IY0
eufrate|EH0 UW0 F R AE T EH0
eunike|EH0 UW0 N IY0 K EH0
eutuko|EH0 UW0 T UW0 K OW0
ewaso|EH0 W AE S OW0
ezekieli|EH0 Z EH0 K IY0 EH0 L IY0
filemoni|F IY0 L EH0 M OW0 N IY0
