ء|Q
آ|Q AE
آبد|Q AE B IY D
آبيس|Q AE B IY S
آتشيوت|Q AE T SH IY Y OW0 T
آتون|Q AE T UW N
آخر|Q AE HH IY RRR
آخرة|Q AE HH RRR AE
آخن|Q AE HH AE N
آدب|Q AE D IY B
آدم|Q AE D AE M
آدمي|Q AE D AE M IY Y Y
آذان|Q AE DH AE N
آذريون|Q AE DH AE RRR Y UW N
آذى|Q AE DH AE
آس|Q AE S
آسفي|Q AE S AE F IY
آسيوي|Q AE S IY Y AE W IY Y Y
آش|Q AE SH
آشوري|Q AE SH UW RRR IY Y Y
آفات|Q AE F AE T
آل|Q AE L UW
آلات|Q AE L AE T
آلة|Q AE L AE
آمال|Q AE M AE L
آمن|Q AE M UW N UW
آمون|Q AE M UW N
آمين|Q AE M IY N AE
آنسة|Q AE N IY S AE
آنك|Q AE N UW K
آني|Q AE N IY Y Y
آية|Q AE Y AE
آيسلندا|Q AE Y IY S L AE N D AE
آيوا|Q AE Y UW W AE
أ|Q UW
أب|Q AE B
أباجور|Q AE B AE ZH UW RRR
أباخس|Q AE B AE HH IY S UW
أباد|Q AE B AE D AE
أباريق|Q AE B AE RRR IY K
أباس|Q UW B AE S
أباسخيرون|Q AE B AE S HH IY RRR UW N
أبان|B AE N AE
أبتر|Q AE B T AE RRR
أبث|Q AE B AE TH AE
أبخق|Q AE B HH AE K
أبد|Q AE B D UW
أبدا|Q AE B AE D AE N
أبدى|Q AE B D AE
أبدي|Q AE B AE D IY Y Y
أبدية|Q AE B AE D IY Y Y AE
أبر|Q AE B AE RRR RRR AE
أبرز|Q AE B RRR UW Z AE
أبريل|Q AE B RRR IY L
أبسطة|Q AE B S IY T AE
أبش|Q AE B AE SH SH UW
أبطل|Q AE B T AE L AE
أبكم|Q AE B K AE M
أبلس|Q AE B L AE S AE
أبله|Q AE B L AE HH
أبنوس|Q AE B N UW S
أبها|Q AE B HH AE
أبهة|Q UW B B AE HH AE
أبهج|Q AE B HH AE D AE
أبوت|Q UW B UW T
أبيدجان|Q AE B IY D D AE N
أبيض|Q AE B Y AE D
أتاح|Q AE T AE HH AE
أترج|Q UW T RRR UW D D
أتقن|Q AE T K AE N AE
أتلف|Q AE T L AE F AE
أتوبوس|Q OW0 T OW0 B UW S
أتوبيس|Q OW0 T OW0 B IY S
أتوم|Q AE T UW M
أتون|Q AE T T UW N
أتى|Q AE T AE
أثاث|Q AE TH AE TH
أثث|Q AE TH TH AE TH AE
أثجل|Q AE TH D AE L
أثرة|Q UW TH RRR AE
أثل|Q UW TH UW L
أثناء|Q AE TH N AE Q AE
أثينا|Q AE TH IY N AE
أثيوبيا|Q AE TH IY Y UW B IY Y AE
أجاب|Q UW D AE B UW
أجار|Q AE D AE RRR AE
أجدب|Q AE D D AE B
أجذاع|Q AE D DH AE RH
أجرب|Q AE D RRR AE B
أجرد|Q AE D RRR AE D
أجزاء|Q AE D Z AE Q
أجل|Q AE D L
أجلح|Q AE D L AE HH
أجمة|Q AE D AE M AE
أجمع|Q AE D M AE RH AE
أجنبي|Q AE D N AE B IY Y Y
أجهد|Q AE D HH AE D AE
أجهض|Q AE D HH AE D AE
أجوف|Q AE D W AE F
أجيال|Q AE D Y AE L
أحادي|Q UW HH AE D IY Y Y
أحاط|Q UW HH AE T UW
أحب|Q AE HH AE B B AE
أحبك|Q UW HH IY B B UW K IY
أحجم|Q AE HH D AE M AE
أحجية|Q UW HH D IY Y Y AE
أحد|Q AE HH AE D D
أحرج|Q AE HH RRR AE D AE
أحرش|Q AE HH RRR AE SH
أحسن|Q UW HH AE S S IY N UW
أحمر|Q AE HH M AE RRR
أحمق|Q AE HH M AE K
أحور|Q AE HH W AE RRR
أحول|Q AE HH W AE L
أحيلى|Q UW HH AE Y L AE
أخ|Q AE HH
أخاديد|Q AE HH AE D IY D
أخاذ|Q AE HH HH AE DH
أخامص|Q AE HH AE M IY S
أخبر|Q AE HH B AE RRR AE
أخت|Q UW HH T
أخثاث|Q AE HH TH AE TH
أخدر|Q AE HH D AE RRR AE
أخدود|Q UW HH D UW D
أخذ|Q AE HH DH
أخرس|Q AE HH RRR AE S AE
أخشن|Q AE HH SH AE N
أخصائي|Q AE HH IY S S AE Q IY Y Y
أخضر|Q AE HH D AE RRR
أخطأ|Q AE HH T AE Q AE
أخطبوط|Q UW HH T UW B UW T
أخلاط|Q AE HH L AE T
أخلاقي|Q AE HH L AE K IY Y Y
أخلاقية|Q AE HH L AE K IY Y Y AE
أخمص|Q AE HH M UW S
أخوية|Q AE HH AE W IY Y Y AE
أخياط|Q AE HH Y AE T
أخيرى|Q UW HH AE Y RRR AE
أدار|Q AE D AE RRR AE
أدان|Q AE D AE N AE
أدب|Q AE D D AE B AE
أدبة|Q AE D AE B AE
أدبي|Q AE D D IY B IY
أدحوة|Q UW D HH UW W W AE
أدحية|Q UW D HH IY Y Y AE
أدرك|Q AE D RRR AE K AE
أدكن|Q AE D K AE N
أدمن|Q AE D M AE N AE
أدهش|Q UW D HH IY SH UW
أدوية|Q AE D W IY Y AE
أديب|Q AE D IY B
أديبة|Q AE D IY B AE
أذاع|Q AE DH AE RH AE
أذربيجان|Q AE DH AE RRR B AE Y D AE N
أذن|Q UW DH UW N
أذى|Q AE DH AE N
أراد|Q AE RRR AE D AE
أربعة|Q AE RRR B IY RH AE
أربعون|Q AE RRR B AE RH UW N AE
أرثوذكسي|Q UW RRR TH UW DH UW K S IY Y Y
أرجان|Q AE RRR D AE N
أرجواني|Q UW RRR D UW W AE N IY Y Y
أرجيش|Q AE RRR D IY SH
أرح|Q AE RRR AE HH HH
أرخبيل|Q AE RRR HH AE B IY L
أردف|Q AE RRR D AE F AE
أردمون|Q AE RRR D AE M UW N
أردني|Q UW RRR D UW N N IY Y Y
أرز|Q UW RRR UW Z Z
أرسطو|Q AE RRR IY S T UW
أرسطوطاليس|Q AE RRR IY S T UW T AE L IY S
أرسل|Q AE RRR S AE L AE
أرصفة|Q AE RRR S IY F AE
أرض|Q AE RRR D
أرضة|Q AE RRR AE D AE
أرضي|Q AE RRR D IY Y Y
أرغان|Q AE RRR HH AE N
أرغفة|Q AE RRR HH IY F AE
أرقان|Q AE RRR G AE N
أركان|Q AE RRR K AE N
أركن|Q AE RRR K UW N
أركنساس|Q AE RRR K AE N S AE S
أرمل|Q AE RRR M AE L AE
أرمية|Q UW RRR M IY Y AE
أرمينيا|Q AE RRR M IY N IY Y AE
أرنؤدي|Q AE RRR N AE Q UW D IY Y Y
أرنب|Q AE RRR N AE B
أرهب|Q AE RRR HH AE B AE
أرومة|Q UW RRR UW M AE
أرومية|Q UW RRR UW M IY Y AE
أريج|Q AE RRR IY D
أريحا|Q AE RRR IY HH AE
أريزونا|Q AE RRR IY Z UW N AE
أريكا|Q AE RRR IY K AE
أريكة|Q AE RRR IY K AE
أزأم|Q AE Z Q AE M AE
أزاح|Q AE Z AE HH AE
أزادرخت|Q AE Z AE D AE RRR HH AE T
أزب|Q AE Z AE B B
أزدرخت|Q AE Z D AE RRR HH AE T
أزرع|Q AE Z RRR AE RH AE
أزرق|Q AE Z RRR AE G
أزعج|Q AE Z RH AE D AE
أزعر|Q AE Z RH AE RRR
أزلي|Q AE Z AE L IY Y Y
أسارون|Q AE S AE RRR UW N
أساس|Q AE S AE S
