'bout|B AE UH T
'cause|K AH0 Z
'dswounds|D Z W UW N D Z
'em|IH M
'emselves|AH0 M S EH L V Z
'fraid|F R EH0 IH D
'ganst|G AE N S T
'll|AH0 L
'low|L AE UH
'm|AH0 M
'mong|M AH NG
'murica|M ER IH K AH0
'n|N
'n'|AH0 N
'nough|N AH F
'nuff|N AH F
's|IH Z
'sblood|Z B L AH D
'scuse|S K Y UW Z
'sdeath|Z D EH TH
'sfar|S F AA R
'swounds|Z W UW N D Z
'tis|T IH Z
'tisn't|T IH Z N T
'tshall|T AH0 L
'tude|T Y UW D
'twas|T W AO Z
'twasn't|T W AO Z EN T
'twill|T W IH L
'twixt|T W IH K S T
'ud|AH0 D
'ullo|AH L AH0 UH
'un|AH N
a|AH0
a'n't|AE N T
aa|AA Q AA
aaawesome|AO S AH0 M
aacap|EH0 IH EH0 IH K AE P
aaccla|AA K L AH0
aach|AA K
aachen|AA K AH0 N
aacu|AE K UH
aalborg|AO L B AO R
aalii|AA L IY IY
aalst|AA L S T
aam|AO M
aandblom|AA N T B L AO M
aar|AA R
aarau|AA R AE UH
aardvark|AA D V AA K
aardwolf|AA D W UH L F
aare|AA R AH0
aarhus|AO HH UW S
aaron|EH AH0 R AH0 N
aaronic|EH R AO N IH K
aaronical|EH R AA N IH K AH0 L
aaronite|EH0 AH0 R EN AE IH T
aaru|AA R UW
aasvogel|AA S F AH0 UH G AH0 L
aatheist|EH0 IH EH0 IH TH IY IH S T
ab|AE B
aba|AH0 B AA
abaca|AE B AH0 K AA
abacavir|AH0 B AE K AH0 V IH AH0
abaci|AE B AH0 K AE IH
abacinate|AE B AE S IH N EH0 IH T
aback|AH0 B AE K
abackward|AH0 B AE K W AH0 D
abaco|AE B AH0 K OW0 UH
abacost|AE B AH0 K AO S T
abacus|AE B AH0 K AH0 S
abaft|AH0 B AA F T
abaht|AH0 B AA T
abaisance|AH0 B EH0 IH Z AH0 N S
abalone|AE B AH0 L AH0 UH N IY
abampere|AE B AE M P IH AH0
aband|AH0 B AE N D
abandon|AH0 B AE N D AH0 N
abandoned|AH0 B AE N D EN D
abandonedly|AH0 B AE N D EN AH0 D L IY
abandoner|AH0 B AE N D AH0 N AH0
abandoning|AH0 B AE N D AH0 N IH NG
abandonment|AH0 B AE N D EN M EN T
abarognosis|AE B AH0 R AH0 G N AH0 UH S IH S
abart|AH0 B AA T
abase|AH0 B EH0 IH S
abased|AH0 B EH0 IH S T
abasedly|AH0 B EH0 IH S IH D L IY
