'bout|B AE UH T
'cause|K AH Z
'dswounds|D Z W UW N D Z
'em|IH M
'emselves|AH0 M S EH L V Z
'fraid|F R EH0 IH D
'ho|HH OW0 UH
'kay|K EH0 IH
'll|AH0 L
'low|L AE UH
'm|AH0 M
'mater|M EH0 IH T ER0
'mong|M AH NG
'murica|M ER IH K AH0
'n|N
'n'|AH0 N
'nough|N AH F
'nuff|N AH F
's|IH Z
'sblood|Z B L AH D
'scuse|S K Y UW Z
'sdeath|Z D EH TH
'sfar|S F AA R
'sup|S AH P
'swounds|Z W UW N D Z
'tis|T IH Z
'tshall|T AH0 L
'tude|T UW D
'twas|T W AH Z
'twill|T W IH L
'twixt|T W IH K S T
'ud|AH0 D
'un|AH N
a|AH0
a'n't|AE N T
aa|AA Q AA
aaawesome|AO S AH0 M
aabomycin|AE B OW0 UH M AE IH S IH N
aacap|EH0 IH EH0 IH K AE P
aaccla|AA K L AH0
aach|AA K
aachen|AA K AH0 N
aacu|AE K UH
aalborg|AO L B AO R G
aalii|AA L IY IY
aalst|AA L S T
aam|AO M
aandblom|AA N T B L AA M
aar|AA R
aarau|AA R AE UH
aardvark|AA R D V AA R K
aardwolf|AA R D W UH L F
aardwolves|AA R D W UH L V Z
aare|AA R AH0
aarhus|AO R HH UW S
aaron|EH R AH0 N
aaronic|EH R AA N IH K
aaronical|EH R AA N IH K AH0 L
aaronite|EH R AH0 N AE IH T
aaru|AA R UW
aasvoel|AA S F OW0 UH AH0 L
aasvogel|AA S F OW0 UH G AH0 L
aatheist|EH0 IH EH0 IH TH IY IH S T
ab|AA B
aba|AH0 B AA
ababda|AH0 B AE B D AH0
ababdeh|AH0 B AE B D EH
abaca|AE B AH0 K AA
abacate|AE B AH0 K AA T IY
abacavir|AH0 B AE K AH0 V IH R
abacaxi|AE B AH0 K AH0 SH IY
abaci|AE B AH0 K AE IH
abacisci|AE B AH0 S IH S AE IH
abaciscus|AE B AH0 S IH S K IH S
abacist|AH0 B AA K AH0 S T
aback|AH0 B AE K
abackward|AH0 B AE K W AH0 D
abaco|AE B AH0 K OW0 UH
abacost|AE B AH0 K AA S T
abacterial|EH0 IH B AE K T IH R IY AH0 L
abactinal|AE B AE K T AH0 N L
abactinally|AE B AE K T AH0 N EL IY
abactor|AE B AE K T ER0
abaculi|AH0 B AE K Y AH0 L IY
abaculus|AH0 B AE K Y AH0 L AH0 S
abacus|AE B AH0 K AH0 S
abadan|AA B AH0 D AA N
abaddon|AH0 B AE D EN
abaft|AH0 B AA F T
abaht|AH0 B AA T
abaisance|AH0 B EH0 IH Z AH0 N S
abaiser|AH0 B EH0 IH S ER0
abaisse|AH0 B EH0 IH S
abaissé|AH0 B EH0 IH S EH0 IH
abakan|AA B AH0 K AA N
abalienate|AE B EH0 IH L Y AH0 N EH0 IH T
abalienation|AE B EH0 IH L Y AH0 N EH0 IH SH AH0 N
abalone|AE B AH0 L OW0 UH N IY
abamp|AE B AE M P
abampere|AE B AE M P IH R
aband|AH0 B AE N D
abandon|AH0 B AE N D AH0 N
abandoned|AH0 B AE N D EN D
abandonedly|AH0 B AE N D EN AH0 D L IY
abandonee|AH0 B AE N D AH0 N IY
abandoner|AH0 B AE N D AH0 N ER0
abandoning|AH0 B AE N D AH0 N IH NG
abandonment|AH0 B AE N D EN M EN T
abanic|AH0 B AE N IH K
abaptiston|AE B AE P T IH S T AO N
abarognosis|AE B AH0 R AH0 G N OW0 UH S IH S
abarthroses|AE B AA R TH R OW0 UH S IY Z
abarthrosis|AE B AA R TH R OW0 UH S IH S
abarticular|AE B AA R T IH K Y AH0 L AH0
abarticulation|AE B AA R T IH K Y UH L EH0 IH SH AH0 N
abas|AH0 B AA S
abase|AH0 B EH0 IH S
abased|AH0 B EH0 IH S T
abasedly|AH0 B EH0 IH S AH0 D L IY
abasement|AH0 B EH0 IH S M AH0 N T
abaser|AH0 B EH0 IH S ER0
abash|AH0 B AE SH
abashedly|AH0 B AE SH IH D L IY
abashedness|AH0 B AE SH IH D N IH S
abashev|AH0 B AA SH AH0 F
