aa|AA
aada|AA D AA
aadolf|AA D OW0 L F
aah|AA HH
aake|AA K EH0
aakkonen|AA K OW0 N EH0 N
aakkosellinen|AA K OW0 S EH0 L IY N EH0 N
aakkosellisuuden|AA K OW0 S EH0 L IY S UW D EH0 N
aakkosen|AA K OW0 S EH0 N
aakkoset|AA K OW0 S EH0 T
aakkosjärjestys|AA K OW0 S Y AE RRR Y EH0 S T Y UW1 S
aakkoslukko|AA K OW0 S L UW K OW0
aakkosnimi|AA K OW0 S N IY M IY
aakkosnumeerinen|AA K OW0 S N UW M EH0 RRR IY N EH0 N
aakkosta|AA K OW0 S T AA Q
aakkostaa|AA K OW0 S T AA Q
aakkostaminen|AA K OW0 S T AA M IY N EH0 N
aakkoston|AA K OW0 S T OW0 N
aakkostuksen|AA K OW0 S T UW K S EH0 N
aalloittaisuuden|AA L OW0 IY T T AA IY S UW D EH0 N
aallokas|AA L OW0 K AA S
aallokkoinen|AA L OW0 K K OW0 IY N EH0 N
aallonmurtaja|AA L OW0 M M UW RRR T AA Y AA
aallot|AA L OW0 T
aallota|AA L OW0 T AA Q
aallotar|AA L OW0 T AA RRR
aallottaa|AA L OW0 T AA Q
aallotuskartonki|AA L OW0 T UW S K AA RRR T OW0 NG K IY
aaloe|AA L OW0 EH0
aalto|AA L T OW0
aaltoa|AA L T OW0 AA Q
aaltoaminen|AA L T OW0 AA M IY N EH0 N
aaltoileminen|AA L T OW0 IY L EH0 M IY N EH0 N
aaltoileva|AA L T OW0 IY L EH0 V AA
aaltoilla|AA L T OW0 IY L AA Q
aaltoillen|AA L T OW0 IY L EH0 N
aaltoilu|AA L T OW0 IY L UW
aaltoimpedanssi|AA L T OW0 IY M P EH0 D AA N S IY
aaltomaisesti|AA L T OW0 M AA IY S EH0 S T IY Q
aaltonauha|AA L T OW0 N AA UW AA
aaltopaketti|AA L T OW0 P AA K EH0 T IY
aaltoputki|AA L T OW0 P UW T K IY
aaltoryhmä|AA L T OW0 RRR Y UW1 HH M AE
aaltosulku|AA L T OW0 S UW L K UW
aaltoviiva|AA L T OW0 V IY V AA
aaltovoima|AA L T OW0 V OW0 IY M AA
aamen|AA M EH0 N
aami|AA M IY
aamiainen|AA M IY AA IY N EH0 N
aamiaismajoitus|AA M IY AA IY S M AA Y OW0 IY T UW S
aamiaistaa|AA M IY AA IY S T AA Q
aamu|AA M UW
aamuhämärä|AA M UW HH AE M AE RRR AE
aamuinen|AA M UW IY N EH0 N
aamuisin|AA M UW IY S IY N
aamukahvi|AA M UW K AA HH V IY
aamukaksi|AA M UW K AA K S IY
aamukaksitoista|AA M UW K AA K S IY T OW0 IY S T AA
aamukampa|AA M UW K AA M P AA
aamukolme|AA M UW K OW0 L M EH0
aamukuusi|AA M UW K UW S IY
aamukymmenen|AA M UW K Y UW1 M EH0 N EH0 N
aamulepakko|AA M UW L EH0 P AA K OW0
aamuneljä|AA M UW N EH0 L Y AE
aamupala|AA M UW P AA L AA
aamupesu|AA M UW P EH0 S UW
aamupuuro|AA M UW P UW RRR OW0
aamupäivä|AA M UW P AE IY V AE
aamuseitsemän|AA M UW S EH0 IY T S EH0 M AE N
aamutee|AA M UW T EH0
aamutossu|AA M UW T OW0 S UW
aamutossut|AA M UW T OW0 S UW T
aamutuimaan|AA M UW T UW IY M AA N
aamutyö|AA M UW T Y UW1 OE
aamutähti|AA M UW T AE HH T IY
aamuviisi|AA M UW V IY S IY
aamuvuoro|AA M UW V UW OW0 RRR OW0
aamuyhdeksän|AA M UW Y UW1 HH D EH0 K S AE N
aamuyksi|AA M UW Y UW1 K S IY
aamuyksitoista|AA M UW Y UW1 K S IY T OW0 IY S T AA
aamuyö|AA M UW Y UW1 OE
aapa|AA P AA
aapasara|AA P AA S AA RRR AA
aapasuo|AA P AA S UW OW0
aapeli|AA P EH0 L IY
aapinen|AA P IY N EH0 N
aapiskirja|AA P IY S K IY RRR Y AA
aapo|AA P OW0
aappo|AA P OW0
aaretti|AA RRR EH0 T IY
aari|AA RRR IY
aaria|AA RRR IY AA
aarne|AA RRR N EH0
aarni|AA RRR N IY
aarnialue|AA RRR N IY AA L UW EH0 Q
aarnikotka|AA RRR N IY K OW0 T K AA
aarnio|AA RRR N IY OW0
aarniometsä|AA RRR N IY OW0 M EH0 T S AE
aarno|AA RRR N OW0
aaro|AA RRR OW0
aaron|AA RRR OW0 N
aaroninsauva|AA RRR OW0 N IY N S AA UW W AA
aarre|AA RRR EH0 Q
aarrearkku|AA RRR EH0 Q AA RRR K UW
aarrelöytö|AA RRR EH0 L L OE Y UW1 T OE
aarresaari|AA RRR EH0 S S AA RRR IY
aasa|AA S AA
aasainuskoinen|AA S AA IY N UW S K OW0 IY N EH0 N
aasi|AA S IY
aasia|AA S IY AA
aasialainen|AA S IY AA L AA IY N EH0 N
aasimainen|AA S IY M AA IY N EH0 N
aasitamma|AA S IY T AA M AA
aatami|AA T AA M IY
