'tain|T EH
a|AO
aa|AE AE
aalandais|AE AE L AA D EH
aalandaise|AE AE L AA D EH Z
aalénien|AE L EH0 N Y EH
aaron|AE AE RH AO
aaronais|AE AE RH AO N EH
aaronaise|AE AE RH AO N EH Z
aaronique|AE AE RH AO N IY K
aast|AE AE S T
aastais|AE AE S T EH
aastaise|AE AE S T EH Z
ababouiné|AE B AE B W IY N EH0
ababouinée|AE B AE B W IY N EH0
abaca|AE B AA K AA
abacost|AE B AE K AO S T
abactérienne|AE B AE K T EH0 RH Y EH N
abacule|AE B AE K Y UW1 L
abader|AE B AE D EH0
abainville|AE B EH V IY L
abainvilloise|AE B EH V IY Y W AE Z
abaissable|AE B EH S AE B L
abaissables|AE B EH S AE B L
abaissant|AE B EH S AA
abaissants|AE B EH S AA
abaisse|AE B EH S
abaissement|AE B EH S M AA
abaissements|AE B EH S M AA
abaisser|AE B EH S EH0
abaisseur|AE B EH S ER RH
abaisseurs|AE B EH S ER RH
abaissé|AE B EH0 S EH0
abajoue|AE B AE ZH UW
abaliéner|AE B AE L Y EH0 N EH0
abalone|AE B AE L AO N
abalourdir|AE B AE L UW RH D IY RH
abancourtoise|AE B AA K UW RH T W AE Z
abandon|AE B AA D AO
abandonnataire|AE B AA D AO N AE T EH RH
abandonnement|AE B AA D AO N M AA
abandonner|AE B AA D AO N EH0
abandonneur|AE B AA D AO N ER RH
abandonnez|AE B AA D AO N EH0
abandonnique|AE B AA D AO N IY K
abandonné|AE B AA D AO N EH0
abandouner|AE B AA D UW N EH0
abaque|AE B AE K
abasie|AE B AE Z IY
abasourdir|AE B AE Z UW RH D IY RH
abasourdira|AE B AE Z UW RH D IY RH AE
abasourdirai|AE B AE Z UW RH D IY RH EH0
abasourdiraient|AE B AE Z UW RH D IY RH EH
abasourdirais|AE B AE Z UW RH D IY RH EH
abasourdirait|AE B AE Z UW RH D IY RH EH
abasourdiras|AE B AE Z UW RH D IY RH AA
abasourdirent|AE B AE Z UW RH D IY RH
abasourdirez|AE B AE Z UW RH D IY RH EH0
abasourdiriez|AE B AE Z UW RH D IY RH Y EH0
abasourdirions|AE B AE Z UW RH D IY RH Y AO
abasourdirons|AE B AE Z UW RH D IY RH AO
abasourdiront|AE B AE Z UW RH D IY RH AO
abasourdissaient|AE B AE Z UW RH D IY S EH
abasourdissais|AE B AE Z UW RH D IY S EH
abasourdissait|AE B AE Z UW RH D IY S EH
abasourdissant|AE B AE Z UW RH D IY S AA
abasourdisse|AE B AE Z UW RH D IY S
abasourdissement|AE B AE Z UW RH D IY S M AA
abasourdissent|AE B AE Z UW RH D IY S
abasourdisses|AE B AE Z UW RH D IY S
abasourdissez|AE B AE Z UW RH D IY S EH0
abasourdissiez|AE B AE Z UW RH D IY S Y EH0
abasourdissions|AE B AE Z UW RH D IY S Y AO
abasourdissons|AE B AE Z UW RH D IY S AO
abasourdit|AE B AE Z UW RH D IY
abasourdîmes|AE B AE Z UW RH D IY M
abasourdît|AE B AE Z UW RH D IY
abasourdîtes|AE B AE Z UW RH D IY T
abat|AE B AE
