a|AO
aba|AO B AO
abakusszal|AO B AO K UW S AO L
abakusszá|AO B AO K UW S AE
abakusz|AO B AO K UW S
abakusza|AO B AO K UW S AO
abakuszai|AO B AO K UW S AO Y IY
abakuszaid|AO B AO K UW S AO Y IY D
abakuszaik|AO B AO K UW S AO Y IY K
abakuszaim|AO B AO K UW S AO Y IY M
abakuszaink|AO B AO K UW S AO Y IY NG K
abakuszaitok|AO B AO K UW S AO Y IY T OW0 K
abakuszba|AO B AO K UW Z B AO
abakuszban|AO B AO K UW Z B AO N
abakuszból|AO B AO K UW Z B OW0 L
abakuszhoz|AO B AO K UW S HH OW0 Z
abakuszig|AO B AO K UW S IY G
abakuszként|AO B AO K UW S K EH0 N T
abakusznak|AO B AO K UW S N AO K
abakusznál|AO B AO K UW S N AE L
abakuszod|AO B AO K UW S OW0 D
abakuszok|AO B AO K UW S OW0 K
abakuszokat|AO B AO K UW S OW0 K AO T
abakuszokba|AO B AO K UW S OW0 G B AO
abakuszokban|AO B AO K UW S OW0 G B AO N
abakuszokból|AO B AO K UW S OW0 G B OW0 L
abakuszokhoz|AO B AO K UW S OW0 K HH OW0 Z
abakuszokig|AO B AO K UW S OW0 K IY G
abakuszokkal|AO B AO K UW S OW0 K AO L
abakuszokká|AO B AO K UW S OW0 K AE
abakuszokként|AO B AO K UW S OW0 K EH0 N T
abakuszoknak|AO B AO K UW S OW0 K N AO K
abakuszoknál|AO B AO K UW S OW0 K N AE L
abakuszokon|AO B AO K UW S OW0 K OW0 N
abakuszokra|AO B AO K UW S OW0 K RRR AO
abakuszokról|AO B AO K UW S OW0 K RRR OW0 L
abakuszoktól|AO B AO K UW S OW0 K T OW0 L
abakuszokért|AO B AO K UW S OW0 K EH0 RRR T
abakuszom|AO B AO K UW S OW0 M
abakuszon|AO B AO K UW S OW0 N
abakuszotok|AO B AO K UW S OW0 T OW0 K
abakuszra|AO B AO K UW S RRR AO
abakuszról|AO B AO K UW S RRR OW0 L
abakuszt|AO B AO K UW S T
abakusztól|AO B AO K UW S T OW0 L
abakuszuk|AO B AO K UW S UW K
abakuszunk|AO B AO K UW S UW NG K
abakuszért|AO B AO K UW S EH0 RRR T
abba|AO B AO
abbahagy|AO B AO HH AO G
abbamarad|AO B AO M AO RRR AO D
abban|AO B AO N
abból|AO B OW0 L
abcúg|AO P T UW G
aberráció|AO B EH RRR AE T IY Y OW0
aberrációk|AO B EH RRR AE T IY Y OW0 K
abház|AO P HH AE Z
abházok|AO P HH AE Z OW0 K
abigél|AO B IY G EH0 L
abiogén|AO B IY Y OW0 G EH0 N
ablak|AO B L AO K
