ᆜ|Y UW0
ㄱㄱ|K OW0 G OW0
ㄱㄴㄷ순|K AE N AE D AE S UW N
ㄴㄴ|N OW0 N OW0
ㄹ혜|R IY UW0 R IY EH0
ㅇㅇ|UW0 NG
ㅈ|T
ㅈㅅ|T W EH0 S OW0 NG
ㅋㅋㅋ|K HH UW0 K HH UW0 K HH UW0
ㅏ|AE
ㅑ|Y AE
ㅓ|AH
ㅔ|EH0
ㅕ|Y AH
ㅖ|Y EH0
ㅗ|OW0
ㅘ|W AE
ㅚ|W EH0
ㅛ|Y OW0
ㅜ|UW
ㅝ|W AH
ㅞ|W EH0
ㅟ|IY
ㅠ|Y UW
ㅡ|UW0
ㅢ|IY
ㅣ|IY
가|K AE
가가린|K AE G AE R IY N
가가우스어|K AE G AE UW S UW0 AH
가감|K AE G AE M
가감하다|K AE G AE M AE D AE
가강수량|K AE G AE NG S UW R Y AE NG
가갸시절|K AE G Y AE SH IY D AH L
가게|K AE G EH0
가격|K AE G Y AH K
가계|K AE G Y EH0
가곡|K AE G OW0 K
가공|K AE G OW0 NG
가공되다|K AE G OW0 NG D W EH0 D AE
가공품|K AE G OW0 NG P UW M
가공하다|K AE G OW0 NG AE D AE
가관|K AE G W AE N
가구|K AE G UW
가극|K AE G UW0 K
가금|K AE G UW0 M
가까이|K AE K AE IY
가까이하다|K AE K AE IY AE D AE
가깝다|K AE K AE P T AE
가껍다|K AE K AH P T AE
가꾸다|K AE K UW D AE
가끔|K AE K UW0 M
가끔씩|K AE K UW0 M SH IY K
가나|K AE N AE
가나다순|K AE N AE D AE S UW N
가난|K AE N AE N
가난하다|K AE N AE N AE D AE
가난히|K AE N AE N IY IY
가누다|K AE N UW D AE
가는돌고기|K AE N UW0 N D OW0 L G OW0 G IY
가는쥐|K AE N UW0 N IY0 D IY
가늘다|K AE N UW0 L D AE
가늠|K AE N UW0 M
가늠하다|K AE N UW0 M AE D AE
가능|K AE N UW0 NG
가능성|K AE N UW0 NG S AH NG
가능하다|K AE N UW0 NG AE D AE
가닛|K AE N IY T
가다|K AE D AE
가다가|K AE D AE G AE
가다붙다|K AE D AE B UW T T AE
