a|AE
aarōn|AE AE RRR OW0 N
ab|AE B
ababa|AE B AE B AE
abacaenum|AE B AE K AE EH0 N UW M
abace|AE B AE K EH0
abacinā|AE B AE K IY N AE
abacinātus|AE B AE K IY N AE T UW S
abacinātūrus|AE B AE K IY N AE T UW RRR UW S
abacinō|AE B AE K IY N OW0
abacis|AE B AE K IY S
abaculus|AE B AE K UW L UW S
abacum|AE B AE K UW M
abacus|AE B AE K UW S
abacī|AE B AE K IY
abacīna|AE B AE K IY N AE
abacīnus|AE B AE K IY N UW S
abacīs|AE B AE K IY S
abacūc|AE B AE K UW K
abaddōn|AE B AE D D OW0 N
abae|AE B AE EH0
abaesamis|AE B AE EH0 S AE M IY S
abaestuātum|AE B AE EH0 S T UW AE T UW M
abaestuō|AE B AE EH0 S T UW OW0
abagmentum|AE B AE G M EH0 N T UW M
abalietās|AE B AE L IY EH0 T AE S
abaliēnāte|AE B AE L IY EH0 N AE T EH0
abaliēnātiō|AE B AE L IY EH0 N AE T IY OW0
abaliēnātō|AE B AE L IY EH0 N AE T OW0
abaliēnō|AE B AE L IY EH0 N OW0
aballaba|AE B AE L L AE B AE
aballava|AE B AE L L AE UW AE
abalus|AE B AE L UW S
abalī|AE B AE L IY
abambulō|AE B AE M B UW L OW0
abamita|AE B AE M IY T AE
abannātiō|AE B AE N N AE T IY OW0
abante|AE B AE N T EH0
abantius|AE B AE N T IY UW S
abantēa|AE B AE N T EH0 AE
abantēus|AE B AE N T EH0 UW S
abanēt|AE B AE N EH0 T
abanēth|AE B AE N EH0 T
abarceō|AE B AE RRR K EH0 OW0
abascanta|AE B AE S K AE N T AE
abascantissimus|AE B AE S K AE N T UW S
abascantus|AE B AE S K AE N T UW S
abascus|AE B AE S K UW S
abasgī|AE B AE S G IY
abavia|AE B AE UW IY AE
abavunculus|AE B AE UW UW N K UW L UW S
abavus|AE B AE UW UW S
abax|AE B AE K S
abba|AE B B AE
abbacinō|AE B B AE K IY N OW0
abbreviandus|AE B B RRR EH0 UW IY AE N D UW S
abbreviātiō|AE B B RRR EH0 UW IY AE T IY OW0
abbreviātiōnibus|AE B B RRR EH0 UW IY AE T IY OW0 N IY B UW S
abbreviātulus|AE B B RRR EH0 UW IY AE T UW L UW S
abbreviātum|AE B B RRR EH0 UW IY AE T UW M
abbreviātūrus|AE B B RRR EH0 UW IY AE T UW RRR UW S
abbreviō|AE B B RRR EH0 UW IY OW0
abbās|AE B B AE S
abbātia|AE B B AE T IY AE
abbātissa|AE B B AE T IY S S AE
abbātizō|AE B B AE T IY Z Z OW0
abbātiālis|AE B B AE T IY AE L IY S
abchasica|AE B K AE S IY K AE
abchasicus|AE B K AE S IY K UW S
abdara|AE B D AE RRR AE
abdicandō|AE B D IY K AE N D OW0
abdicā|AE B D IY K AE
abdicārem|AE B D IY K AE RRR EH0 M
abdicārās|AE B D IY K AE RRR AE S
abdicārēs|AE B D IY K AE RRR EH0 S
abdicās|AE B D IY K AE S
abdicāsse|AE B D IY K AE S S EH0
abdicāssem|AE B D IY K AE S S EH0 M
abdicāssēs|AE B D IY K AE S S EH0 S
abdicātiō|AE B D IY K AE T IY OW0
abdicātīva|AE B D IY K AE T IY UW AE
abdicātīvus|AE B D IY K AE T IY UW UW S
abdicātīvās|AE B D IY K AE T IY UW AE S
abdicātīvē|AE B D IY K AE T IY UW EH0
abdicātīvō|AE B D IY K AE T IY UW OW0
abdicātīvōs|AE B D IY K AE T IY UW OW0 S
abdicātōria|AE B D IY K AE T OW0 RRR IY AE
abdicātōrius|AE B D IY K AE T OW0 RRR IY UW S
abdicō|AE B D IY K OW0
abditus|AE B D IY T UW S
abditīva|AE B D IY T IY UW AE
abditīvus|AE B D IY T IY UW UW S
abdua|AE B D UW AE
abductiō|AE B D UW K T IY OW0
abductīva|AE B D UW K T IY UW AE
abductīvus|AE B D UW K T IY UW UW S
abductōris|AE B D UW K T OW0 RRR IY S
abdēra|AE B D EH0 RRR AE
abdēre|AE B D EH0 RRR EH0
abdērus|AE B D EH0 RRR UW S
abdērī|AE B D EH0 RRR IY
abdērītānus|AE B D EH0 RRR IY T AE N UW S
abdērītēs|AE B D EH0 RRR IY T EH0 S
abdērō|AE B D EH0 RRR OW0
abdīcam|AE B D IY K AE M
abdīcar|AE B D IY K AE RRR
abdīcō|AE B D IY K OW0
abdō|AE B D OW0
abdōmen|AE B D OW0 M EH0 N
abdōminālis|AE B D OW0 M IY N AE L IY S
abdūcēns|AE B D UW K EH0 N S
abdūcō|AE B D UW K OW0
abecedārium|AE B EH0 K EH0 D AE RRR IY UW M
abecedārius|AE B EH0 K EH0 D AE RRR IY UW S
abella|AE B EH0 L L AE
abellana|AE B EH0 L L AE N AE
abellīnum|AE B EH0 L L IY N UW M
abelus|AE B EH0 L UW S
abequitō|AE B EH0 K IY T OW0
aberdeenēnsis|AE B EH0 RRR D EH0 N EH0 N S IY S
aberrant|AE B EH0 RRR RRR AE N T
aberrante|AE B EH0 RRR RRR AE N T EH0
aberrantēs|AE B EH0 RRR RRR AE N T EH0 S
aberrātiō|AE B EH0 RRR RRR AE T IY OW0
aberrō|AE B EH0 RRR RRR OW0
abeō|AE B EH0 OW0
abhibeō|AE B HH IY B EH0 OW0
abhinc|AE B IY N K
abhorreō|AE B HH OW0 RRR RRR EH0 OW0
abhorrēscō|AE B HH OW0 RRR RRR EH0 S K OW0
abia|AE B IY AE
abiciō|AE B IY K IY OW0
abierimus|AE B IY EH0 RRR IY M UW S
abieris|AE B IY EH0 RRR IY S
abieritis|AE B IY EH0 RRR IY T IY S
abietifolia|AE B IY EH0 T IY F OW0 L IY AE
abietifolius|AE B IY EH0 T IY F OW0 L IY UW S
abietina|AE B IY EH0 T IY N AE
abietinus|AE B IY EH0 T IY N UW S
abietāria|AE B IY EH0 T AE RRR IY AE
abietārius|AE B IY EH0 T AE RRR IY UW S
abiga|AE B IY G AE
abigeus|AE B IY G EH0 UW S
abigeātor|AE B IY G EH0 AE T OW0 RRR
abigeātus|AE B IY G EH0 AE T UW S
abigō|AE B IY G OW0
abilitās|AE B IY L IY T AE S
abitiō|AE B IY T IY OW0
abitus|AE B IY T UW S
abiāthār|AE B IY AE T AE RRR
abiēgna|AE B IY EH0 G N AE
abiēgnus|AE B IY EH0 G N UW S
abiēs|AE B IY EH0 S
ablactō|AE B L AE K T OW0
ablacuō|AE B L AE K UW OW0
ablaqueātiō|AE B L AE K EH0 AE T IY OW0
ablaqueō|AE B L AE K EH0 OW0
ablepsia|AE B L EH0 P S IY AE
abligurriō|AE B L IY G UW RRR RRR IY OW0
abligurrītiō|AE B L IY G UW RRR RRR IY T IY OW0
abligurrītor|AE B L IY G UW RRR RRR IY T OW0 RRR
ablocō|AE B L OW0 K OW0
abluvium|AE B L UW UW IY UW M
abluviō|AE B L UW UW IY OW0
abluō|AE B L UW OW0
ablātiō|AE B L AE T IY OW0
ablātor|AE B L AE T OW0 RRR
ablātīva|AE B L AE T IY UW AE
ablātīve|AE B L AE T IY UW EH0
ablātīvus|AE B L AE T IY UW UW S
ablātīvās|AE B L AE T IY UW AE S
ablātīvī|AE B L AE T IY UW IY
ablātīvō|AE B L AE T IY UW OW0
ablātīvōs|AE B L AE T IY UW OW0 S
ablēgātiō|AE B L EH0 G AE T IY OW0
ablēgō|AE B L EH0 G OW0
ablūdō|AE B L UW D OW0
ablūtiō|AE B L UW T IY OW0
ablūtor|AE B L UW T OW0 RRR
ablūtūrus|AE B L UW T UW RRR UW S
abmātertera|AE B M AE T EH0 RRR T EH0 RRR AE
abnatātum|AE B N AE T AE T UW M
abnatātūrus|AE B N AE T AE T UW RRR UW S
abnatō|AE B N AE T OW0
abnegātiō|AE B N EH0 G AE T IY OW0
abnegātor|AE B N EH0 G AE T OW0 RRR
abnegātīva|AE B N EH0 G AE T IY UW AE
abnegātīvus|AE B N EH0 G AE T IY UW UW S
abnegō|AE B N EH0 G OW0
abnepōs|AE B N EH0 P OW0 S
abnoctātum|AE B N OW0 K T AE T UW M
abnoctātūrus|AE B N OW0 K T AE T UW RRR UW S
abnoctō|AE B N OW0 K T OW0
abnuitiō|AE B N UW IY T IY OW0
abnumerō|AE B N UW M EH0 RRR OW0
abnuō|AE B N UW OW0
abnōdō|AE B N OW0 D OW0
abnōrmis|AE B N OW0 RRR M IY S
abnūtātum|AE B N UW T AE T UW M
abnūtātūrus|AE B N UW T AE T UW RRR UW S
abnūtīva|AE B N UW T IY UW AE
abnūtīvus|AE B N UW T IY UW UW S
abnūtō|AE B N UW T OW0
abobrīga|AE B OW0 B RRR IY G AE
abodiacum|AE B OW0 D IY AE K UW M
aboleō|AE B OW0 L EH0 OW0
abolitiō|AE B OW0 L IY T IY OW0
abolitor|AE B OW0 L IY T OW0 RRR
abolla|AE B OW0 L L AE
abolānī|AE B OW0 L AE N IY
abolēscō|AE B OW0 L EH0 S K OW0
abomāsum|AE B OW0 M AE S UW M
aborigina|AE B OW0 RRR IY G IY N AE
aboriginus|AE B OW0 RRR IY G IY N UW S
aborigō|AE B OW0 RRR IY G OW0
aborior|AE B OW0 RRR IY OW0 RRR
aborsa|AE B OW0 RRR S AE
aborsus|AE B OW0 RRR S UW S
abortiō|AE B OW0 RRR T IY OW0
abortus|AE B OW0 RRR T UW S
abortās|AE B OW0 RRR T AE S
abortātūrus|AE B OW0 RRR T AE T UW RRR UW S
abortīva|AE B OW0 RRR T IY UW AE
abortīvum|AE B OW0 RRR T IY UW UW M
abortīvus|AE B OW0 RRR T IY UW UW S
abortō|AE B OW0 RRR T OW0
aborīgineus|AE B OW0 RRR IY G IY N EH0 UW S
abpatruus|AE B P AE T RRR UW UW S
abra|AE B RRR AE
abracadabra|AE B RRR AE K AE D AE B RRR AE
abram|AE B RRR AE M
abrelicta|AE B RRR EH0 L IY K T AE
abrelictus|AE B RRR EH0 L IY K T UW S
abrenuntiātum|AE B RRR EH0 N UW N T IY AE T UW M
abrenuntiātūrus|AE B RRR EH0 N UW N T IY AE T UW RRR UW S
abrenūntiātiō|AE B RRR EH0 N UW N T IY AE T IY OW0
abrenūntiō|AE B RRR EH0 N UW N T IY OW0
abrincatuī|AE B RRR IY N K AE T UW IY
abripiō|AE B RRR IY P IY OW0
abrocomēs|AE B RRR OW0 K OW0 M EH0 S
abrogāta|AE B RRR OW0 G AE T AE
abrogāte|AE B RRR OW0 G AE T EH0
abrogātiō|AE B RRR OW0 G AE T IY OW0
abrogātī|AE B RRR OW0 G AE T IY
abrogātō|AE B RRR OW0 G AE T OW0
abrogāvissēmus|AE B RRR OW0 G AE UW IY S S EH0 M UW S
abrogō|AE B RRR OW0 G OW0
abrotanifolia|AE B RRR OW0 T AE N IY F OW0 L IY AE
abrotanifolius|AE B RRR OW0 T AE N IY F OW0 L IY UW S
abrumpō|AE B RRR UW M P OW0
abrupta|AE B RRR UW P T AE
abruptissima|AE B RRR UW P T IY S S IY M AE
abruptiō|AE B RRR UW P T IY OW0
abruptās|AE B RRR UW P T AE S
abruptōs|AE B RRR UW P T OW0 S
abrādō|AE B RRR AE D OW0
abrās|AE B RRR AE S
abrāsiō|AE B RRR AE S IY OW0
abrīs|AE B RRR IY S
abrōdō|AE B RRR OW0 D OW0
abrōnius|AE B RRR OW0 N IY UW S
abs|AE B S
absarus|AE B S AE RRR UW S
abscindō|AE B S K IY N D OW0
abscissa|AE B S K IY S S AE
abscissiō|AE B S K IY S S IY OW0
abscondeō|AE B S K OW0 N D EH0 OW0
absconditus|AE B S K OW0 N D IY T UW S
abscondō|AE B S K OW0 N D OW0
abscēdō|AE B S K EH0 D OW0
abscīdō|AE B S K IY D OW0
abscīsa|AE B S K IY S AE
abscīsus|AE B S K IY S UW S
abscōnsa|AE B S K OW0 N S AE
abscōnsus|AE B S K OW0 N S UW S
abscōnsō|AE B S K OW0 N S OW0
absediī|AE B S EH0 D IY IY
absentia|AE B S EH0 N T IY AE
absentīvus|AE B S EH0 N T IY UW UW S
absentō|AE B S EH0 N T OW0
absiliō|AE B S IY L IY OW0
