aachen|AA K EH0 N
abbe|AE B EH
abbot|AE B AO T
aboensisk|AE B UH EH N S IH S K
abstinens|AE B S T IH N EH N S
abstinensbesvär|AE B S T IH N EH N S B EH0 S V AE RRR
accent|AE K S EH N T
acetylsalicylsyra|AE S EH T Y UW1 L S AE L IH S Y UW1 L S Y UW1 RRR AE
ackja|AE K Y AE
ackusativ|AE K UH S AE T IY V
adde|AE D EH
adel|AA D EH L
adelssläkt|AO D AH0 L S S L EH K T
adhd|AA D EH0 HH OW0 D EH0
adjektiv|AE D Y EH K T IY V
adjö|AE Y OE
adla|AA D L AE
adlig|AA D L IH G
advent|AE D V EH N T
adventsljusstake|AE D V EH N T S Y UW S S T AA K EH
advokat|AE D V UH K AA T
affrikata|AE F RRR IH K AA T AE
affär|AE F EH RRR
afse|AE F S EH
afton|AE F T AO N
aftonfalk|AE F T AO N F AE L K
aggressiv|AE G RRR EH S IY V
agna|AE NG N AE
agneta|AE NG N EH0 T AE
agnosticism|AE G N AO S T IH S IH S M
agnostiker|AE G N AO S T IH K EH RRR
aioli|AE Y OW0 L IH
akaciames|AE K AA S IY Y AE M EH0 S
aktie|AE K T S IH EH
aktiebolag|AE K T S IY EH B UH L AA G
aktuell|AE K T UH EH L
akut|AE K UW T
al|AA L
albatross|AE L B AE T RRR AO S
albert|AE L B AE T
albertina|AE L B AE T IY N AE
albin|AE L B IH N
aldrig|AE L D RRR IY G
alert|AE L AE T
alfabet|AE L F AE B EH0 T
alfågel|AA L F OW0 G EH L
alförrädare|AA L F ER R EH D AE R EH
alg|AE L Y
algerier|AE L EH0 RRR IH EH RRR
algeriet|AE L EH RRR IY EH T
algerisk|AE L EH0 RRR IH S K
alkekung|AE L K EH K UH NG
alkohol|AE L K UH HH OW0 L
alkoholism|AE L K UH HH UH L IH S M
alkoholist|AE L K UH HH UH L IH S T
alla|AE L AE
allemansrätt|AE L EH M AE N S RRR EH T
allihop|AE L IH HH UW P
allihopa|AE L IH HH UW P AE
allmän|AE L M EH N
allmänbildning|AE L M EH N B IH L D N IH NG
alltmer|AE L T M EH0 RRR
alltså|AE L T S AO
allvarlig|AE L V AA RRR L IH G
allé|AE L EH0
alpseglare|AE L P S EH0 G L AE R EH
altruism|AE L T RRR UH IH S M
aluminium|AE L UH M IY N IH UH M
amanda|AE M AE N D AE
ambitiös|AE M B IY OE S
amerika|AE M EH0 RRR IH K AE
amma|AE M AE
amper|AE M P EH RRR
ampere|AE M P AE RRR
amurfalk|AA M UH RRR F AE L K
ana|AA N AE
and|AE N D
anden|AE N D EH N
andlig|AE N D L IH G
andra|AE N D RRR AE
andré|AE N D RRR EH0
anfalla|AE N F AE L AE
ange|AE N Y EH0
anka|AE NG K AE
ankeborg|AE NG K EH B AO RRR Y
anklagelse|AE N K L AA G EH L S EH
anna|AE N AE
annons|AE N AO NG S
anod|AE N UW D
anomali|AE N UH M AE L IY
ansat|AE N S AE T
ansatt|AE N S AE T
ansikte|AE N S IH K T AH0
anspråk|AE N S P RRR OW0 K
ansvarig|AE N S V AA RRR IH G
antepenultima|AE N T EH P EH N UH L T IH M AE
antimon|AE N T IH M UW N
antisemit|AE N T IH S EH M IY T
antisemitisk|AE N T IH S EH M IY T IH S K
antisemitism|AE N T IH S EH M IH T IH S M
antyda|AE N T Y UW1 D AE
apa|AA P AE
apelsinjuice|AE P EH L S IY N Y UW S
apotek|AE P UH T EH0 K
appellativ|AE P EH L AE T IY V
april|AE P RRR IH L
arbetslös|AE RRR B EH0 T S L OE S
arbus|AA RRR B UW S
arg|AE RRR Y
argon|AE RRR G OW0 N
argt|AE RRR Y T
arkimedes|AE RRR K IH M EH0 D EH S
arkitekt|AE RRR SH IH T EH K T
arkiv|AE RRR K IY V
arr|AE RRR
arrangemang|AE RRR AE N EH0 M AE NG
arrangera|AE RRR AE N EH0 RRR AE
arsel|AE RRR S EH L
arsenik|AE RRR S EH N IY K
arton|AA RRR T AO N
arv|AE RRR V
as|AA S
aspig|AE S P IH G
asturisk|AE S T UW RRR IH S K AE
asturiska|AE S T UW RRR IH S K AE
att|AO
attack|AE T AE K
attityd|AE T IH T Y UW1 D
aubergin|AO B EH RRR SH IH N
aubergine|AO B EH RRR SH IH N
augusti|AE UH G UH S T IH
aula|AE UH L AE
av|AA V
avbrott|AA V B RRR AO T
avfärda|AA V F EH RRR D AE
avgjord|AA V Y UW RRR D
avgå|AA V G OW0
avgång|AA V G AO NG
avgöra|AA V Y OE RRR AE
avi|AE V IY
avlat|AA V L AA T
avlatskrämare|AA V L AA T S K RRR EH M AE RRR EH
avled|AA V L EH0 D
avokado|AE V UH K AA D UH
avseende|AA V S EH0 EH N D EH
avsiktlig|AA V S IY K T L IY
avsked|AA V EH0 D
avsky|AA V Y UW1
avskyvärd|AA V V EH RRR D
avsluta|AA V S L UW T AE
aw|AA V EH0
axel|AE K S EH L
ba|B AA
babbe|B AE B EH
babylift|B EH IH B L IH F T
backsvala|B AE K S V AA L AE
bad|B AA D
bada|B AA D AE
badensisk|B AE D EH N S IH S K
badstuga|B AA D S T UW G AE
bagage|B AE G AA
bajen|B AE Y EH N
bajs|B AE Y S
bajsa|B AE Y S AE
bak|B AA K
bakbord|B AE K B UW RRR D
balkansångare|B AE L K AE N S AO NG AE RRR EH
ball|B AE L
balle|B AE L EH
bamba|B AE M B AE
bambamat|B AE M B AE M AA T
bambarast|B AE M B AE RRR AE S T
bambatant|B AE M B AE T AE N T
bana|B AA N AE
banan|B AA N AE N
bananskal|B AE N AA N S K AA L
band|B AE N D
bane|B AA N EH
baneman|B AA N EH M AE N
bank|B AE NG K
bar|B AA RRR
bara|B AA RRR AE
barcelona|B AE SH EH L OW0 N AE
barmhärtig|B AE RRR M HH EH T IH G
barn|B AA RRR N
barnbespisning|B AA RRR N B EH S P IY S N IH NG
barnet|B AA RRR N EH T
barnhem|B AA RRR N HH EH M
barnmorska|B AA RRR N M UH RRR S K AE
barriär|B AE RRR IH AE RRR
barsk|B AE SH K
bas|B AA S
basar|B AE S AA RRR
basket|B AA S K EH T
basta|B AE S T AE
bea|B EH0 AE
bearbeta|B EH0 AE RRR B EH0 T AE
bebop|B IY B AO P
beckasin|B EH K AE S IY N
beckasinsnäppa|B EH K AE S IY N S N EH P AE
bedrägeri|B EH D RRR EH G EH RRR IY
