а|AA
аб'юрація|AA B Y UH RRR AA T IY Y AA
абажур|AA B AA ZH UW RRR
абажурчик|AA B AA ZH UW RRR T EH0 K
абаз|AA B AA Z
абазин|AA B AA Z IH N
абазинець|AA B AA Z IH N EH0 T
абазинка|AA B AA Z IH N K AA
абазія|AA B AA Z IY Y AA
абак|AA B AA K
абака|AA B AA K AA
абандон|AA B AA N D AO N
абат|AA B AA T
абатиса|AA B AA T IH S AA
абатство|AA B AA T T W AO
абвер|AA B V EH0 RRR
абдикація|AA B D EH0 K AA T IY Y AA
абдомінопластика|AA B D AO M IY N AO P L AA S T EH0 K AA
аберація|AA B EH0 RRR AA T IY Y AA
абетка|AA B EH T K AA
абеткування|AA B EH0 T K UH V AA N AA
абзац|AA B Z AA T
аби|AA B IH
абиде|AA B IH D EH0
абиколи|AA B IH K AO L EH0
абикуди|AA B IH K UH D EH0
абихто|AA B IH HH T AO
абичого|AA B IH T AO AO
абищиця|AA B IH SH T EH0 T AA
абищо|AA B IH SH T AO
абияк|AA B IH Y AA K
аблактування|AA B L AA K T UH V AA N AA
абластика|AA B L AA S T EH0 K AA
аблатив|AA B L AA T IH UW
абляція|AA B L AA T IY Y AA
або|AA B AO
аболіціонізм|AA B AO L IY T IY OW0 N IY Z M
аболіціоніст|AA B AO L IY T IY OW0 N IY S T
аболіція|AA B OW0 L IY T IY Y AA
абонемент|AA B AO N EH0 M EH N T
абонент|AA B AO N EH N T
абонентка|AA B AO N EH N T K AA
абонування|AA B AO N UH V AA N AA
абордаж|AA B AO RRR D AA ZH
абориген|AA B AO RRR EH0 EH N
аборигенка|AA B AO RRR EH0 EH N K AA
аборт|AA B AO RRR T
абортування|AA B AO RRR T UH V AA N AA
абортувати|AA B AO RRR T UH V AA T EH0
абразив|AA B RRR AA Z IH UW
абразивність|AA B RRR AA Z IH UW N IY S T
абразія|AA B RRR AA Z IY Y AA
абракадабра|AA B RRR AA K AA D AA B RRR AA
абракадабризм|AA B RRR AA K AA D AA B RRR IH Z M
абревіатура|AA B RRR EH0 V IY AA T UW RRR AA
абревіація|AA B RRR EH0 V IY AA T IY Y AA
абреже|AA B RRR EH0 ZH EH
абрек|AA B RRR EH K
абрикос|AA B RRR EH0 K AO S
абрикоса|AA B RRR EH0 K AO S AA
абрикосник|AA B RRR EH0 K AO S N EH0 K
абрикосівка|AA B RRR EH0 K AO S IY UW K AA
абрикотин|AA B RRR EH0 K AO T IH N
абрис|AA B RRR EH0 S
аброгація|AA B RRR AO AA T IY Y AA
абруптив|AA B RRR UH P T IH UW
абсанс|AA B S AA N S
абсент|AA B S EH N T
абсентеїзм|AA B S EH0 N T EH0 Y IY Z M
абсида|AA B S IH D AA
абсолют|AA B S OW0 L UW T
абсолютизація|AA B S AO L UH T EH0 Z AA T IY Y AA
абсолютизм|AA B S AO L UH T IH Z M
абсолютизування|AA B S AO L UH T EH0 Z UH V AA N AA
